Entry_ID	Form_ID	Word	Gloss	Flags	Headword	Head_Strategy	Source	Tags
d1818	f_hos3a4hrtzpp6	groyyi	pit	initial-apical-or-cluster;initial-cluster	*kuẓ-V	krishnamurti-pfeiffer	dedr;B-Telugu;K-also-Telugu	
d1818	f_7ezjpvvutew54	groyyu	to be formed into a hole or pit	initial-apical-or-cluster;initial-cluster	*kuẓ-V	krishnamurti-pfeiffer	dedr;B-Telugu	
d1818	f_5culweofdbrd6	groccu	to dig	initial-apical-or-cluster;initial-cluster	*kuẓ-V	krishnamurti-pfeiffer	dedr	
d1818	f_h2yol63wxiceq	kroccu	to dig	initial-apical-or-cluster;initial-cluster	*kuẓ-V	krishnamurti-pfeiffer	dedr;K-Telugu;K-also-Telugu	
d1826	f_qje5ckegjswui	kruŋku	to sink, plunge, set (as the sun), die; a plunge	initial-apical-or-cluster;initial-cluster	kruŋku	dedr-reflex	dedr	
d1828	f_lj7zmplmadmki	kolanu	id	uncontracted-comparison-candidate	*kuḷ-am	krishnamurti-pfeiffer	dedr	
d1840	f_nfptjwgshxlpk	kuṟuvu	id	uncontracted-comparison-candidate	*kuṯ-V-nk-	krishnamurti-pfeiffer	dedr	
d1842	f_5svnihlovfrga	koṟaḍu	the trunk of a tree of which the branches are lopped off, a stump. DED(S) 1528	uncontracted-comparison-candidate	kuṟaṭu	dedr-reflex	dedr	
d1843	f_osv7ugsfoehn4	koṟaḍu	a kind of pincers. DED 1529	uncontracted-comparison-candidate	kuṟaṭu	dedr-reflex	dedr	
d1844	f_hwc3vw5pndswi	koṟava	name of a tribe of mountaineers	uncontracted-comparison-candidate	kuṟam	dedr-reflex	dedr	
d1844	f_5dirayzweq24i	koṟavata	a gipsy	uncontracted-comparison-candidate	kuṟam	dedr-reflex	dedr	f
d1844	f_kzydh5e5ffxhu	koravanji	a gipsy	uncontracted-comparison-candidate	kuṟam	dedr-reflex	dedr	
d1844	f_jroa77q6lqf3w	kurupa	a caste of shepherds who weave blankets	uncontracted-comparison-candidate	kuṟam	dedr-reflex	dedr	
d1844	f_ftewkejqedb2m	kuruma	a caste of shepherds who weave blankets	uncontracted-comparison-candidate	kuṟam	dedr-reflex	dedr	
d1845	f_4sneir5keewzi	Silurus boalis	</i>	uncontracted-comparison-candidate	kuṟavai	dedr-reflex	dedr	
d1847	f_txz36ywtfj3aq	guṟi	an aim, object aimed at, design, purpose, sign, token, esteem	uncontracted-comparison-candidate	*gur_- (*-d_-)	merriam-pdr	dedr	
d1847	f_ux3yl7dxb4ore	guṟincu	to intend, have in view	uncontracted-comparison-candidate	*gur_- (*-d_-)	merriam-pdr	dedr	
d1847	f_oklkay5qlb52u	guṟinci	concerning	uncontracted-comparison-candidate	*gur_- (*-d_-)	merriam-pdr	dedr	
d1847	f_5ltk2ksnm6tje	guṟici	concerning	uncontracted-comparison-candidate	*gur_- (*-d_-)	merriam-pdr	dedr	
d1847	f_6vsldnltzfhum	guṟikā̃ḍu	a good marksman	uncontracted-comparison-candidate	*gur_- (*-d_-)	merriam-pdr	dedr	
d1847	f_6t7bvctroopx4	guṟutu	a mark, sign, token	uncontracted-comparison-candidate	*gur_- (*-d_-)	merriam-pdr	dedr	
d1850	f_ery2rzlbv2jv6	gruddu	to give a blow with the fist; a blow with the fist	initial-apical-or-cluster;initial-cluster	*kut-V-	krishnamurti-pfeiffer	dedr	noun
d1851	f_hwyh3co77ekp6	kuṟuca	short, dwarfish, small	uncontracted-comparison-candidate	*kuṯ-ay-	krishnamurti-pfeiffer	dedr	
d1851	f_ii7id7v6xb3ya	kuṟu	short, dwarfish, small	uncontracted-comparison-candidate	*kuṯ-ay-	krishnamurti-pfeiffer	dedr	
d1851	f_sosgopelfpsjw	kuradā	deficiency	uncontracted-comparison-candidate	*kuṯ-ay-	krishnamurti-pfeiffer	dedr	
