ID	Tag	Language_ID	Source_Language_ID	Name	Glottocode	Latitude	Longitude	Clade	Location	Quality
tiptur	dialect:Kannada:tiptur:Tiptur	Kannada	tiptur	Tiptur	nucl1305	13.26	76.48	S. Dravidian I	Tiptur, India	C
coorg	dialect:Kannada:coorg:Coorg%20%28Jenu%20Kuruba%29	Kannada	coorg	Coorg (Jenu Kuruba)	nucl1305	12.4208	75.7397	S. Dravidian I	Coorg (Jenu Kuruba), India	C
rabakavi	dialect:Kannada:rabakavi:Rabakavi	Kannada	rabakavi	Rabakavi	nucl1305	16.47	75.12	S. Dravidian I	Rabakavi, India	C
kinwat	dialect:Kolami:kinwat:Kinwat	Kolami	kinwat	Kinwat	nort2699	19.60604	78.200786	C. Dravidian	Kinwat, India	C
pandh	dialect:Kolami:pandh:P%C4%81n%E1%B8%8Dharkav%E1%B9%9Ba	Kolami	pandh	Pānḍharkavṛa	nort2699	20.022	78.546	C. Dravidian	Pānḍharkavṛa, India	C
wagh	dialect:Kolami:wagh:Waghapur	Kolami	wagh	Waghapur	nort2699	20.4031	78.1151	C. Dravidian	Waghapur, India	C
sova	dialect:Konda:sova:Sovva	Konda	sova	Sovva	kond1295	18.422543	82.832662	S. Dravidian II	Sovva, India	C
onti	dialect:Koraga:onti:Onti	Koraga	onti	Onti	kora1289	13.3389	74.7451	S. Dravidian I	Onti, India	C
tappu	dialect:Koraga:tappu:Tappu	Koraga	tappu	Tappu	kora1289	13.466667	74.983333	S. Dravidian I	Tappu, India	C
mudu	dialect:Koraga:mudu:Mudu	Koraga	mudu	Mudu	kora1289	13.628333	74.688889	S. Dravidian I	Mudu, India	C
mirdha	dialect:Kurux:mirdha:Mirdha	Kurux	mirdha	Mirdha	kuru1301	22.116	84.016	N. Dravidian	Mirdha, India	C
sunkar	dialect:Kuwi:sunkar:Sunkarametta	Kuwi	sunkar	Sunkarametta	kuvi1243	18.278312	82.967209	S. Dravidian II	Sunkarametta, India	C
bisam	dialect:Kuwi:bisam:Bisamkatak	Kuwi	bisam	Bisamkatak	kuvi1243	19.52	83.52	S. Dravidian II	Bisamkatak, India	C
tiyya	dialect:Malayalam:tiyya:Thiyya	Malayalam	tiyya	Thiyya	mala1464	12.0167	75.2833	S. Dravidian I	Thiyya, India	C
kollimalai	dialect:Tamil:kollimalai:Kollimalai	Tamil	kollimalai	Kollimalai	tami1289	11.65	78.55	S. Dravidian I	Kollimalai, India	C
tinn	dialect:Tamil:tinn:Tirunelveli	Tamil	tinn	Tirunelveli	tami1289	8.713611	77.756667	S. Dravidian I	Tirunelveli, India	C
nancil	dialect:Tamil:nancil:N%C4%81%C3%B1cil-n%C4%81%E1%B9%ADu	Tamil	nancil	Nāñcil-nāṭu	tami1289	8.2312	77.506	S. Dravidian I	Nāñcil-nāṭu, India	C
nanv	dialect:Tamil:nanv:N%C4%81%C3%B1cil-n%C4%81%E1%B9%ADu%20Vell%C4%81la	Tamil	nanv	Nāñcil-nāṭu Vellāla	tami1289	8.2312	77.506	S. Dravidian I	Nāñcil-nāṭu Vellāla, India	C
southarcot	dialect:Tamil:southarcot:South%20Arcot	Tamil	southarcot	South Arcot	tami1289	11.5	79.416667	S. Dravidian I	South Arcot, India	C
thanjavur	dialect:Tamil:thanjavur:Ta%C3%B1j%C4%81vur	Tamil	thanjavur	Tañjāvur	tami1289	10.787	79.137806	S. Dravidian I	Tañjāvur, India	C
salem	dialect:Tamil:salem:Salem	Tamil	salem	Salem	tami1289	11.65	78.15	S. Dravidian I	Salem, India	C
coimbatore	dialect:Tamil:coimbatore:Coimbatore	Tamil	coimbatore	Coimbatore	tami1289	11.016806	76.955806	S. Dravidian I	Coimbatore, India	C
lowerperak	dialect:Tamil:lowerperak:Lower%20Perak	Tamil	lowerperak	Lower Perak	tami1289	4	101	S. Dravidian I	Lower Perak, Malaysia	C
ramnad	dialect:Tamil:ramnad:Ramnad	Tamil	ramnad	Ramnad	tami1289	9.3639	78.8395	S. Dravidian I	Ramnad, India	C
merolu	dialect:Telugu:merolu:Merolu	Telugu	merolu	Merolu	telu1262	19.076111	72.8775	S. Dravidian II	Merolu, India	C
markodi_pannithadam	dialect:markodi:markodi_pannithadam:Pannithadam	markodi	markodi_pannithadam	Pannithadam		12.356	75.276	S. Dravidian I	Pannithadam, India	C
markodi_vannarkadav	dialect:markodi:markodi_vannarkadav:Vannarkadav	markodi	markodi_vannarkadav	Vannarkadav		12.342	75.263	S. Dravidian I	Vannarkadav, India	C
markodi_ennappara	dialect:markodi:markodi_ennappara:Ennappara	markodi	markodi_ennappara	Ennappara		12.3537	75.17665	S. Dravidian I	Ennappara, India	C
salur	dialect:Gadaba:salur:Salur	Gadaba	salur	Salur	mudh1235	18.5204941	83.195972	C. Dravidian	Salur, India	C
lsi_gadaba	dialect:Gadaba:LSI-GADABA:Gadab%C4%81%20%28LSI%201928%29	Gadaba	LSI-GADABA	Gadabā (LSI 1928)	bodo1267	18.3857	82.771	C. Dravidian	Lexibank LSI v1.0 coordinate inherited from its Glottolog mapping; not asserted as Grierson's historical survey locality	B
lsi_tamil	dialect:Tamil:LSI-TAMIL:Tamil%CC%A4%20%28LSI%201928%29	Tamil	LSI-TAMIL	Tamil̤ (LSI 1928)	tami1289	10.520219	78.825989	S. Dravidian I	Lexibank LSI v1.0 coordinate inherited from its Glottolog mapping; not asserted as Grierson's historical survey locality	B
lsi_irula	dialect:Irula:LSI-IRULA:Irula%20%28LSI%201928%29	Irula	LSI-IRULA	Irula (LSI 1928)	irul1243	12.70645	79.95209	S. Dravidian I	Lexibank LSI v1.0 coordinate inherited from its Glottolog mapping; not asserted as Grierson's historical survey locality	B
lsi_malayalam	dialect:Malayalam:LSI-MALAYALAM:Malaya%CC%84l%CC%A3am%20%28LSI%201928%29	Malayalam	LSI-MALAYALAM	Malayāḷam (LSI 1928)	mala1464	9.59208	76.7651	S. Dravidian I	Lexibank LSI v1.0 coordinate inherited from its Glottolog mapping; not asserted as Grierson's historical survey locality	B
lsi_kanarese	dialect:Kannada:LSI-KANARESE:Kanarese%20%28LSI%201928%29	Kannada	LSI-KANARESE	Kanarese (LSI 1928)	nucl1305	13.5878	76.1198	S. Dravidian I	Lexibank LSI v1.0 coordinate inherited from its Glottolog mapping; not asserted as Grierson's historical survey locality	B
lsi_badaga	dialect:Badaga:LSI-BADAGA:Bad%CC%A3aga%20%28LSI%201928%29	Badaga	LSI-BADAGA	Baḍaga (LSI 1928)	bada1257	11.3094	76.5974	S. Dravidian I	Lexibank LSI v1.0 coordinate inherited from its Glottolog mapping; not asserted as Grierson's historical survey locality	B
lsi_kodagu	dialect:Kodagu:LSI-KODAGU:Kod%CC%A3agu%20%28LSI%201928%29	Kodagu	LSI-KODAGU	Koḍagu (LSI 1928)	koda1255	12.2443	75.9161	S. Dravidian I	Lexibank LSI v1.0 coordinate inherited from its Glottolog mapping; not asserted as Grierson's historical survey locality	B
lsi_tulu	dialect:Tulu:LSI-TULU:Tul%CC%A3u%20%28LSI%201928%29	Tulu	LSI-TULU	Tuḷu (LSI 1928)	tulu1258	12.8114	75.2651	S. Dravidian I	Lexibank LSI v1.0 coordinate inherited from its Glottolog mapping; not asserted as Grierson's historical survey locality	B
lsi_toda	dialect:Toda:LSI-TODA:Toda%20%28LSI%201928%29	Toda	LSI-TODA	Toda (LSI 1928)	toda1252	11.4184	77.0168	S. Dravidian I	Lexibank LSI v1.0 coordinate inherited from its Glottolog mapping; not asserted as Grierson's historical survey locality	B
lsi_kota	dialect:Kota:LSI-KOTA:Ko%CC%84ta%20%28LSI%201928%29	Kota	LSI-KOTA	Kōta (LSI 1928)	kota1263	11.4978	76.9387	S. Dravidian I	Lexibank LSI v1.0 coordinate inherited from its Glottolog mapping; not asserted as Grierson's historical survey locality	B
lsi_kuruxororao	dialect:Kurux:LSI-KURUXORORAO:Kurun%EA%AD%93%20%28LSI%201928%29	Kurux	LSI-KURUXORORAO	Kurunꭓ (LSI 1928)	kuru1302	24.4644	86.4657	N. Dravidian	Lexibank LSI v1.0 coordinate inherited from its Glottolog mapping; not asserted as Grierson's historical survey locality	B
lsi_maltoormaler	dialect:Malto:LSI-MALTOORMALER:Malto%2FMaler%20%28LSI%201928%29	Malto	LSI-MALTOORMALER	Malto/Maler (LSI 1928)	kuma1274	24.1217	87.2699	N. Dravidian	Lexibank LSI v1.0 coordinate inherited from its Glottolog mapping; not asserted as Grierson's historical survey locality	B
lsi_kuikandhiorkhond	dialect:Kui:LSI-KUIKANDHIORKHOND:Kui%2FKand%E2%80%99i%CC%84%2FKhond%20%28LSI%201928%29	Kui	LSI-KUIKANDHIORKHOND	Kui/Kand’ī/Khond (LSI 1928)	kuii1252	19.2043	83.5859	S. Dravidian II	Lexibank LSI v1.0 coordinate inherited from its Glottolog mapping; not asserted as Grierson's historical survey locality	B
lsi_kolami	dialect:Kolami:LSI-KOLAMI:Ko%CC%84la%CC%84mi%CC%84%20%28LSI%201928%29	Kolami	LSI-KOLAMI	Kōlāmī (LSI 1928)	nort2699	20.1022	78.4934	C. Dravidian	Lexibank LSI v1.0 coordinate inherited from its Glottolog mapping; not asserted as Grierson's historical survey locality	B
lsi_gondi	dialect:Gondi:LSI-GONDI:Go%CC%84n%CC%A3d%CC%A3i%20%28LSI%201928%29	Gondi	LSI-GONDI	Gōṇḍi (LSI 1928)	sout2711	20.10446	80.27811	S. Dravidian II	Lexibank LSI v1.0 coordinate inherited from its Glottolog mapping; not asserted as Grierson's historical survey locality	B
lsi_telugu	dialect:Telugu:LSI-TELUGU:Telugu%20%28LSI%201928%29	Telugu	LSI-TELUGU	Telugu (LSI 1928)	telu1262	16.4529	78.7024	S. Dravidian II	Lexibank LSI v1.0 coordinate inherited from its Glottolog mapping; not asserted as Grierson's historical survey locality	B
lsi_brahui	dialect:Brahui:LSI-BRAHUI:Bra%CC%84hu%CC%84i%CC%84%20%28LSI%201928%29	Brahui	LSI-BRAHUI	Brāhūī (LSI 1928)	brah1256	29.04	66.56	Brahui	Lexibank LSI v1.0 coordinate inherited from its Glottolog mapping; not asserted as Grierson's historical survey locality	B
beine_bhb	dialect:Gondi:beine_bhb:Danthewada%20%28Bison%20Horn%20Maria%2C%20bhb%29	Gondi	beine_bhb	Danthewada (Bison Horn Maria, bhb)		18.844330	81.383933	S. Dravidian II	Bison Horn Maria from Danthewada Tehsil, Bastar District, Madhya Pradesh; Beine (1994) survey site bhb; Glottolog subgroup per Rama et al. (2017): Southeast Gondi > General Southeast Gondi > Bison Horn Maria	B
beine_bhe	dialect:Gondi:beine_bhe:Bherai%20%28bhe%29	Gondi	beine_bhe	Bherai (bhe)		22.127577	79.570950	S. Dravidian II	Gondi from Bherai, Seoni Tehsil, Seoni District, Madhya Pradesh; Beine (1994) survey site bhe; Glottolog subgroup per Rama et al. (2017): Northwest Gondi > Northern Gondi	B
beine_bhm	dialect:Gondi:beine_bhm:Danthewada%20%28Bison%20Horn%20Maria%2C%20bhm%29	Gondi	beine_bhm	Danthewada (Bison Horn Maria, bhm)		19.059522	81.257629	S. Dravidian II	Bison Horn Maria from Danthewada Tehsil, Bastar District, Madhya Pradesh; Beine (1994) survey site bhm, printed (shifted) by Rama et al.; Glottolog subgroup per Rama et al. (2017): Southeast Gondi > General Southeast Gondi > Bison Horn Maria	B
beine_bhs	dialect:Gondi:beine_bhs:Konda%20%28Bison%20Horn%20Maria%2C%20bhs%29	Gondi	beine_bhs	Konda (Bison Horn Maria, bhs)		18.477004	81.519928	S. Dravidian II	Bison Horn Maria from Konda Tehsil, Bastar District, Madhya Pradesh; Beine (1994) survey site bhs, printed (?) by Rama et al.; Glottolog subgroup per Rama et al. (2017): Southeast Gondi > General Southeast Gondi > Bison Horn Maria	B
beine_dog	dialect:Gondi:beine_dog:Pandrakowda%20%28Koi%20Gondi%2C%20dog%29	Gondi	beine_dog	Pandrakowda (Koi Gondi, dog)		20.022970	78.549049	S. Dravidian II	Koi Gondi from Pandrakowda Taluk, Yavatmal District, Maharashtra; Beine (1994) survey site dog; Glottolog subgroup per Rama et al. (2017): Northwest Gondi > Southern Gondi	B
beine_gam	dialect:Gondi:beine_gam:Amravati%20%28gam%29	Gondi	beine_gam	Amravati (gam)		20.937424	77.779551	S. Dravidian II	Gondi from Amravati city, Amravati District, Maharashtra; Beine (1994) survey site gam; Glottolog subgroup per Rama et al. (2017): Northwest Gondi > Northern Gondi	B
beine_gar	dialect:Gondi:beine_gar:Arvi%20%28gar%29	Gondi	beine_gar	Arvi (gar)		21.000382	78.224855	S. Dravidian II	Gondi from Arvi Taluk, Wardha District, Maharashtra; Beine (1994) survey site gar; Glottolog subgroup per Rama et al. (2017): Northwest Gondi > Northern Gondi	B
beine_gba	dialect:Gondi:beine_gba:Bhamragarh%20%28gba%29	Gondi	beine_gba	Bhamragarh (gba)		19.414814	80.589669	S. Dravidian II	Gondi from Bhamragarh, Etapalli Taluk, Garhichiroli District, Maharashtra; Beine (1994) survey site gba; Glottolog subgroup per Rama et al. (2017): Southeast Gondi > General Southeast Gondi > Hill Maria-Koya > Hill Maria	B
beine_gbh	dialect:Gondi:beine_gbh:Sironcha%20%28gbh%29	Gondi	beine_gbh	Sironcha (gbh)		18.847716	79.961237	S. Dravidian II	Gondi from Sironcha Taluk, Garhichiroli District, Maharashtra; Beine (1994) survey site gbh; Glottolog subgroup per Rama et al. (2017): Southeast Gondi > General Southeast Gondi > Hill Maria-Koya > Hill Maria	B
beine_gch	dialect:Gondi:beine_gch:Chickaldara%20%28gch%29	Gondi	beine_gch	Chickaldara (gch)		21.403012	77.326812	S. Dravidian II	Gondi from Chickaldara, Amravati District, Maharashtra; Beine (1994) survey site gch; Glottolog subgroup per Rama et al. (2017): Northwest Gondi > Northern Gondi	B
beine_gcj	dialect:Gondi:beine_gcj:Baya%20%28gcj%29	Gondi	beine_gcj	Baya (gcj)		21.812876	80.183829	S. Dravidian II	Gondi from Baya Tehsil, Balaghat District, Madhya Pradesh; Beine (1994) survey site gcj; Glottolog subgroup per Rama et al. (2017): Northwest Gondi > Northern Gondi	B
beine_gdh	dialect:Gondi:beine_gdh:Dharni%20%28gdh%29	Gondi	beine_gdh	Dharni (gdh)		21.552665	76.892273	S. Dravidian II	Gondi from Dharni, Amravati District, Maharashtra; Beine (1994) survey site gdh; Glottolog subgroup per Rama et al. (2017): Northwest Gondi > Northern Gondi	B
beine_get	dialect:Gondi:beine_get:Etapalli%20%28get%29	Gondi	beine_get	Etapalli (get)		19.616241	80.213434	S. Dravidian II	Gondi from Etapalli Taluk, Garhichiroli District, Maharashtra; Beine (1994) survey site get; Glottolog subgroup per Rama et al. (2017): Southeast Gondi > General Southeast Gondi > Hill Maria-Koya > Hill Maria	B
beine_ggg	dialect:Gondi:beine_ggg:Harapur%20%28ggg%29	Gondi	beine_ggg	Harapur (ggg)		22.078001	79.546509	S. Dravidian II	Gondi from Harapur, Seoni Tehsil, Seoni District, Madhya Pradesh; Beine (1994) survey site ggg; Glottolog subgroup per Rama et al. (2017): Northwest Gondi > Northern Gondi	B
beine_ght	dialect:Gondi:beine_ght:Hetitola%20%28Raj%20Gondi%2C%20ght%29	Gondi	beine_ght	Hetitola (Raj Gondi, ght)		21.462449	80.220977	S. Dravidian II	Raj Gondi from Hetitola, Gondla Taluk, Bandhara District, Maharashtra; Beine (1994) survey site ght; Glottolog subgroup per Rama et al. (2017): Northwest Gondi > Northern Gondi	B
beine_gja	dialect:Gondi:beine_gja:Jarawandi%20%28gja%29	Gondi	beine_gja	Jarawandi (gja)		19.995642	80.441129	S. Dravidian II	Gondi from Jarawandi, Etapalli Taluk, Garhichiroli District, Maharashtra; Beine (1994) survey site gja; Glottolog subgroup per Rama et al. (2017): Southeast Gondi > General Southeast Gondi > Hill Maria-Koya > Hill Maria	B
beine_gka	dialect:Gondi:beine_gka:Nagpur%20%28gka%29	Gondi	beine_gka	Nagpur (gka)		21.145800	79.088155	S. Dravidian II	Gondi from Nagpur city, Nagpur District, Maharashtra; Beine (1994) survey site gka; Glottolog subgroup per Rama et al. (2017): Northwest Gondi > Northern Gondi	B
beine_gki	dialect:Gondi:beine_gki:Kinwat%20%28Koitur%20Gondi%2C%20gki%29	Gondi	beine_gki	Kinwat (Koitur Gondi, gki)		19.624595	78.196340	S. Dravidian II	Koitur Gondi from Kinwat Taluk, Nanded District, Maharashtra; Beine (1994) survey site gki; Glottolog subgroup per Rama et al. (2017): Northwest Gondi > Southern Gondi	B
beine_gkt	dialect:Gondi:beine_gkt:Betul%20%28gkt%29	Gondi	beine_gkt	Betul (gkt)		21.967175	77.745208	S. Dravidian II	Gondi from Betul Tehsil, Betul District, Madhya Pradesh; Beine (1994) survey site gkt; Glottolog subgroup per Rama et al. (2017): Northwest Gondi > Northern Gondi	B
beine_glb	dialect:Gondi:beine_glb:Amgaon%20%28glb%29	Gondi	beine_glb	Amgaon (glb)		20.724705	79.563154	S. Dravidian II	Gondi from Amgaon Taluk, Bandhara District, Maharashtra; Beine (1994) survey site glb; Glottolog subgroup per Rama et al. (2017): Northwest Gondi > Northern Gondi	B
beine_gni	dialect:Gondi:beine_gni:Nirmal%20%28Koya%20Goti%2C%20gni%29	Gondi	beine_gni	Nirmal (Koya Goti, gni)		19.096412	78.342975	S. Dravidian II	Koya Goti from Nirmal Taluk, Adilabad District, Andhra Pradesh; Beine (1994) survey site gni; Glottolog subgroup per Rama et al. (2017): Northwest Gondi > Southern Gondi	B
beine_goa	dialect:Gondi:beine_goa:Aheri%20%28goa%29	Gondi	beine_goa	Aheri (goa)		19.413355	80.005910	S. Dravidian II	Gondi from Aheri Taluk, Garhichiroli District, Maharashtra; Beine (1994) survey site goa; Glottolog subgroup per Rama et al. (2017): Southeast Gondi > General Southeast Gondi > Hill Maria-Koya > Hill Maria	B
beine_gok	dialect:Gondi:beine_gok:Raigarh%20%28gok%29	Gondi	beine_gok	Raigarh (gok)		18.856056	82.734714	S. Dravidian II	Gondi from Raigarh, Umrakot Tehsil, Koraput District, Orissa; Beine (1994) survey site gok; Glottolog subgroup per Rama et al. (2017): Southeast Gondi > General Southeast Gondi > Muria	B
beine_gra	dialect:Gondi:beine_gra:Rajura%20%28gra%29	Gondi	beine_gra	Rajura (gra)		19.777457	79.366268	S. Dravidian II	Gondi from Rajura Taluk, Chandrapur District, Maharashtra; Beine (1994) survey site gra; Glottolog subgroup per Rama et al. (2017): Northwest Gondi > Southern Gondi	B
beine_grp	dialect:Gondi:beine_grp:Ramtek%20%28Raj%20Gondi%2C%20grp%29	Gondi	beine_grp	Ramtek (Raj Gondi, grp)		21.392862	79.326840	S. Dravidian II	Raj Gondi from Ramtek Taluk, Nagpur District, Maharashtra; Beine (1994) survey site grp; Glottolog subgroup per Rama et al. (2017): Northwest Gondi > Northern Gondi	B
beine_gse	dialect:Gondi:beine_gse:Selu%20%28gse%29	Gondi	beine_gse	Selu (gse)		20.745319	78.602195	S. Dravidian II	Gondi from Selu Taluk, Wardha District, Maharashtra; Beine (1994) survey site gse; Glottolog subgroup per Rama et al. (2017): Northwest Gondi > Northern Gondi	B
beine_gtd	dialect:Gondi:beine_gtd:Shapur%20%28gtd%29	Gondi	beine_gtd	Shapur (gtd)		22.199329	77.908175	S. Dravidian II	Gondi from Shapur Tehsil, Betul District, Madhya Pradesh; Beine (1994) survey site gtd; Glottolog subgroup per Rama et al. (2017): Northwest Gondi > Northern Gondi	B
beine_gut	dialect:Gondi:beine_gut:Utnoor%20%28gut%29	Gondi	beine_gut	Utnoor (gut)		19.371804	78.778789	S. Dravidian II	Gondi from Utnoor Taluk, Adilabad District, Andhra Pradesh; Beine (1994) survey site gut; Glottolog subgroup per Rama et al. (2017): Northwest Gondi > Southern Gondi	B
beine_gwa	dialect:Gondi:beine_gwa:Warud%20%28gwa%29	Gondi	beine_gwa	Warud (gwa)		21.471210	78.264700	S. Dravidian II	Gondi from Warud Taluk, Amravati District, Maharashtra; Beine (1994) survey site gwa; Glottolog subgroup per Rama et al. (2017): Northwest Gondi > Northern Gondi	B
beine_khu	dialect:Gondi:beine_khu:Khurai%20%28khu%29	Gondi	beine_khu	Khurai (khu)		22.030924	79.513551	S. Dravidian II	Gondi from Khurai, Seoni Tehsil, Seoni District, Madhya Pradesh; Beine (1994) survey site khu; Glottolog subgroup per Rama et al. (2017): Northwest Gondi > Northern Gondi	B
beine_ktg	dialect:Gondi:beine_ktg:Mohla%20%28ktg%29	Gondi	beine_ktg	Mohla (ktg)		20.580560	80.751927	S. Dravidian II	Gondi from Mohla Tehsil, Rajnandgaon District, Madhya Pradesh; Beine (1994) survey site ktg; Glottolog subgroup per Rama et al. (2017): Southeast Gondi > General Southeast Gondi > Muria	B
beine_lxg	dialect:Gondi:beine_lxg:Lanetpeta%20%28lxg%29	Gondi	beine_lxg	Lanetpeta (lxg)		19.067310	79.258118	S. Dravidian II	Gondi from Lanetpeta Taluk, Adilabad District, Andhra Pradesh; Beine (1994) survey site lxg; Glottolog subgroup per Rama et al. (2017): Northwest Gondi > Southern Gondi	B
beine_mad	dialect:Gondi:beine_mad:Adewada%20%28Chotta%20Maria%20Gondi%2C%20mad%29	Gondi	beine_mad	Adewada (Chotta Maria Gondi, mad)		19.614786	80.237038	S. Dravidian II	Chotta Maria Gondi from Adewada, Etapalli, Garhichiroli District, Maharashtra; Beine (1994) survey site mad; Glottolog subgroup per Rama et al. (2017): Southeast Gondi > General Southeast Gondi > Hill Maria-Koya > Hill Maria	B
beine_mal	dialect:Gondi:beine_mal:Etapalli%20%28Chotta%20Maria%20Gondi%2C%20mal%29	Gondi	beine_mal	Etapalli (Chotta Maria Gondi, mal)		19.594079	80.244827	S. Dravidian II	Chotta Maria Gondi from Etapalli Taluk, Garhichiroli District, Maharashtra; Beine (1994) survey site mal; Glottolog subgroup per Rama et al. (2017): Southeast Gondi > General Southeast Gondi > Hill Maria-Koya > Hill Maria	B
beine_mbh	dialect:Gondi:beine_mbh:Bhamani%20%28Maria%20Gondi%2C%20mbh%29	Gondi	beine_mbh	Bhamani (Maria Gondi, mbh)		18.847716	79.961237	S. Dravidian II	Maria Gondi from Bhamani, Sironcha Taluk, Garhichiroli District, Maharashtra; Beine (1994) survey site mbh; Glottolog subgroup per Rama et al. (2017): Southeast Gondi > General Southeast Gondi > Hill Maria-Koya > Hill Maria	B
beine_mdh	dialect:Gondi:beine_mdh:Dhanora%20%28mdh%29	Gondi	beine_mdh	Dhanora (mdh)		20.273183	80.307383	S. Dravidian II	Gondi from Dhanora Taluk, Garhichiroli District, Maharashtra; Beine (1994) survey site mdh; Glottolog subgroup per Rama et al. (2017): Southeast Gondi > General Southeast Gondi > Muria	B
beine_met	dialect:Gondi:beine_met:Etapalli%20%28Maria%20Gondi%2C%20met%29	Gondi	beine_met	Etapalli (Maria Gondi, met)		19.641941	80.211182	S. Dravidian II	Maria Gondi from Etapalli, Garhichiroli District, Maharashtra; Beine (1994) survey site met; Glottolog subgroup per Rama et al. (2017): Southeast Gondi > General Southeast Gondi > Hill Maria-Koya > Hill Maria	B
beine_mku	dialect:Gondi:beine_mku:Kurkhed%20%28mku%29	Gondi	beine_mku	Kurkhed (mku)		20.215441	80.144254	S. Dravidian II	Gondi from Kurkhed Taluk, Garhichiroli District, Maharashtra; Beine (1994) survey site mku; Glottolog subgroup per Rama et al. (2017): Southeast Gondi > General Southeast Gondi > Muria	B
