Partition	Axis	Class	Language_ID	N_Reviewed_Frame_Families	N_Attested_Reviewed	N_Attested_Unreviewed	N_Missing	N_D_No_R	N_R_No_D	N_Mixed_DR	N_Other_No_DR	N_Uncertain_No_DR	N_Other_And_Uncertain_No_DR	N_Borrowed_Only	N_D_Bearing	N_R_Bearing	N_DR_Informative	N_Any_Uncertain	N_Any_Other	N_Any_Borrowed	N_Partially_Reviewed_Families	D_Over_DR	D_Over_Attested_Reviewed	D_Proportion_DR	D_Proportion_Attested_Reviewed
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / low-a	Gadaba	56	7	0	49	0	3	0	0	2	0	2	0	3	3	2	0	2	0	0/3	0/7	0.0	0.0
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / low-a	Gondi	56	13	0	43	3	2	0	0	7	0	1	3	2	5	8	0	1	0	3/5	3/13	0.6	0.230769
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / low-a	Irula	56	5	0	51	0	0	0	0	5	0	0	0	0	0	5	0	0	0	0/0	0/5		0.0
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / low-a	Kadar	56	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / low-a	Kannada	56	46	0	10	0	45	0	0	1	0	0	0	45	45	8	3	3	0	0/45	0/46	0.0	0.0
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / low-a	Kodagu	56	20	0	36	0	19	0	0	1	0	0	0	19	19	1	0	0	0	0/19	0/20	0.0	0.0
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / low-a	Kolami	56	14	0	42	0	2	0	0	8	0	4	0	2	2	8	0	4	0	0/2	0/14	0.0	0.0
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / low-a	Konda	56	13	0	43	9	3	0	0	1	0	0	9	3	12	2	0	1	0	9/12	9/13	0.75	0.692308
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / low-a	Koraga	56	5	0	51	0	1	0	1	3	0	0	0	1	1	3	1	0	0	0/1	0/5	0.0	0.0
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / low-a	Kota	56	23	0	33	0	23	0	0	0	0	0	0	23	23	0	0	0	0	0/23	0/23	0.0	0.0
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / low-a	Kudiya	56	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / low-a	Kui	56	10	0	46	5	1	2	0	1	0	1	7	3	8	2	0	1	0	7/8	7/10	0.875	0.7
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / low-a	Kurumba	56	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / low-a	Kurux	56	6	0	50	0	4	0	0	2	0	0	0	4	4	4	0	0	0	0/4	0/6	0.0	0.0
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / low-a	Kuwi	56	9	0	47	5	0	0	0	3	0	1	5	0	5	5	0	1	0	5/5	5/9	1.0	0.555556
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / low-a	MalaMalasar	56	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / low-a	MalaPulaya	56	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / low-a	Malasar	56	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / low-a	Malayalam	56	41	0	15	0	41	0	0	0	0	0	0	41	41	2	3	0	0	0/41	0/41	0.0	0.0
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / low-a	Malto	56	8	0	48	0	6	0	0	2	0	0	0	6	6	2	0	0	0	0/6	0/8	0.0	0.0
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / low-a	Manda	56	1	0	55	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0/0	0/1		0.0
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / low-a	Mannan	56	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / low-a	Muduga	56	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / low-a	Muthuvan	56	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / low-a	Naiki	56	4	0	52	0	2	0	0	2	0	0	0	2	2	2	0	0	0	0/2	0/4	0.0	0.0
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / low-a	Naikri	56	5	0	51	0	0	0	0	2	0	3	0	0	0	2	0	3	0	0/0	0/5		0.0
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / low-a	Paliya	56	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / low-a	PaluKurumba	56	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / low-a	Parji	56	10	0	46	0	4	0	0	4	0	2	0	4	4	4	0	2	0	0/4	0/10	0.0	0.0
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / low-a	Pengo	56	8	0	48	4	1	0	0	3	0	0	4	1	5	3	0	0	0	4/5	4/8	0.8	0.5
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / low-a	Sholaga	56	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / low-a	Tamil	56	49	0	7	0	48	0	0	0	0	1	0	48	48	0	0	1	0	0/48	0/49	0.0	0.0
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / low-a	Telugu	56	54	0	2	8	30	10	0	6	0	0	18	40	48	13	2	1	0	18/48	18/54	0.375	0.333333
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / low-a	Toda	56	20	0	36	0	17	0	1	2	0	0	0	17	17	2	1	0	0	0/17	0/20	0.0	0.0
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / low-a	Tulu	56	29	0	27	0	28	0	1	0	0	0	0	28	28	7	8	0	0	0/28	0/29	0.0	0.0
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / low-a	Urali	56	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / low-a	markodi	56	3	0	53	0	3	0	0	0	0	0	0	3	3	0	0	0	0	0/3	0/3	0.0	0.0
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / mixed/unknown-formative	AluKurumba	66	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / mixed/unknown-formative	Badaga	66	21	0	45	0	14	0	4	3	0	0	0	14	14	4	7	0	0	0/14	0/21	0.0	0.0
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / mixed/unknown-formative	Belari	66	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / mixed/unknown-formative	BettaKurumba	66	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / mixed/unknown-formative	Brahui	66	5	0	61	0	2	0	0	3	0	0	0	2	2	3	0	0	0	0/2	0/5	0.0	0.0
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / mixed/unknown-formative	Eravallan	66	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / mixed/unknown-formative	Gadaba	66	17	1	48	0	12	0	1	3	0	1	0	12	12	3	1	1	1	0/12	0/17	0.0	0.0
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / mixed/unknown-formative	Gondi	66	28	0	38	2	16	2	1	4	0	3	4	18	20	8	3	5	0	4/20	4/28	0.2	0.142857
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / mixed/unknown-formative	Irula	66	3	0	63	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0/0	0/3		0.0
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / mixed/unknown-formative	Kadar	66	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / mixed/unknown-formative	Kannada	66	46	0	20	0	45	0	0	1	0	0	0	45	45	4	11	1	0	0/45	0/46	0.0	0.0
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / mixed/unknown-formative	Kodagu	66	18	0	48	0	14	0	3	1	0	0	0	14	14	1	4	0	0	0/14	0/18	0.0	0.0
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / mixed/unknown-formative	Kolami	66	18	0	48	0	8	0	1	5	0	4	0	8	8	5	1	4	0	0/8	0/18	0.0	0.0
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / mixed/unknown-formative	Konda	66	23	0	43	7	13	1	1	1	0	0	8	14	21	2	1	0	0	8/21	8/23	0.380952	0.347826
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / mixed/unknown-formative	Koraga	66	2	0	64	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0/1	0/2	0.0	0.0
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / mixed/unknown-formative	Kota	66	22	0	44	0	18	0	3	1	0	0	0	18	18	3	6	0	0	0/18	0/22	0.0	0.0
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / mixed/unknown-formative	Kudiya	66	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / mixed/unknown-formative	Kui	66	23	0	43	12	4	1	0	6	0	0	13	5	17	8	0	0	0	13/17	13/23	0.764706	0.565217
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / mixed/unknown-formative	Kurumba	66	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / mixed/unknown-formative	Kurux	66	13	0	53	0	8	0	3	2	0	0	0	8	8	2	3	0	0	0/8	0/13	0.0	0.0
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / mixed/unknown-formative	Kuwi	66	25	0	41	9	8	0	2	6	0	0	9	8	17	7	2	0	0	9/17	9/25	0.529412	0.36
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / mixed/unknown-formative	MalaMalasar	66	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / mixed/unknown-formative	MalaPulaya	66	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / mixed/unknown-formative	Malasar	66	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / mixed/unknown-formative	Malayalam	66	39	0	27	0	38	0	0	1	0	0	0	38	38	2	3	0	1	0/38	0/39	0.0	0.0
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / mixed/unknown-formative	Malto	66	6	0	60	0	3	0	3	0	0	0	0	3	3	0	3	0	0	0/3	0/6	0.0	0.0
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / mixed/unknown-formative	Manda	66	10	0	56	6	2	0	0	2	0	0	6	2	8	2	0	0	0	6/8	6/10	0.75	0.6
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / mixed/unknown-formative	Mannan	66	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / mixed/unknown-formative	Muduga	66	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / mixed/unknown-formative	Muthuvan	66	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / mixed/unknown-formative	Naiki	66	6	0	60	0	4	0	1	0	0	1	0	4	4	0	1	1	0	0/4	0/6	0.0	0.0
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / mixed/unknown-formative	Naikri	66	13	0	53	0	8	0	1	2	0	2	0	8	8	2	1	2	0	0/8	0/13	0.0	0.0
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / mixed/unknown-formative	Paliya	66	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / mixed/unknown-formative	PaluKurumba	66	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / mixed/unknown-formative	Parji	66	18	0	48	0	15	0	1	1	0	1	0	15	15	1	2	2	0	0/15	0/18	0.0	0.0
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / mixed/unknown-formative	Pengo	66	10	0	56	4	2	2	0	2	0	0	6	4	8	3	0	0	0	6/8	6/10	0.75	0.6
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / mixed/unknown-formative	Sholaga	66	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / mixed/unknown-formative	Tamil	66	47	1	18	0	45	0	0	2	0	0	0	45	45	3	3	2	1	0/45	0/47	0.0	0.0
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / mixed/unknown-formative	Telugu	66	60	0	6	7	41	5	3	3	1	0	12	46	53	11	11	0	0	12/53	12/60	0.226415	0.2
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / mixed/unknown-formative	Toda	66	19	0	47	0	9	0	6	4	0	0	0	9	9	4	8	1	0	0/9	0/19	0.0	0.0
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / mixed/unknown-formative	Tulu	66	34	0	32	0	28	0	2	4	0	0	0	28	28	10	6	0	0	0/28	0/34	0.0	0.0
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / mixed/unknown-formative	Urali	66	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	short-vowel-initial-singleton-apical / mixed/unknown-formative	markodi	66	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	uncertain-initial-order / mixed/unknown-formative	AluKurumba	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	uncertain-initial-order / mixed/unknown-formative	Badaga	2	1	0	1	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0/1	0/1	0.0	0.0
primary	Domain_Following_Vowel	uncertain-initial-order / mixed/unknown-formative	Belari	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	uncertain-initial-order / mixed/unknown-formative	BettaKurumba	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	uncertain-initial-order / mixed/unknown-formative	Brahui	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	uncertain-initial-order / mixed/unknown-formative	Eravallan	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	uncertain-initial-order / mixed/unknown-formative	Gadaba	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	uncertain-initial-order / mixed/unknown-formative	Gondi	2	2	0	0	0	2	0	0	0	0	0	0	2	2	0	0	0	0	0/2	0/2	0.0	0.0
primary	Domain_Following_Vowel	uncertain-initial-order / mixed/unknown-formative	Irula	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	uncertain-initial-order / mixed/unknown-formative	Kadar	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	uncertain-initial-order / mixed/unknown-formative	Kannada	2	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0/1	0/1	0.0	0.0
primary	Domain_Following_Vowel	uncertain-initial-order / mixed/unknown-formative	Kodagu	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	uncertain-initial-order / mixed/unknown-formative	Kolami	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	uncertain-initial-order / mixed/unknown-formative	Konda	2	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0/0	0/1		0.0
primary	Domain_Following_Vowel	uncertain-initial-order / mixed/unknown-formative	Koraga	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	uncertain-initial-order / mixed/unknown-formative	Kota	2	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0/1	0/1	0.0	0.0
primary	Domain_Following_Vowel	uncertain-initial-order / mixed/unknown-formative	Kudiya	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	uncertain-initial-order / mixed/unknown-formative	Kui	2	2	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0/0	0/2		0.0
primary	Domain_Following_Vowel	uncertain-initial-order / mixed/unknown-formative	Kurumba	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	uncertain-initial-order / mixed/unknown-formative	Kurux	2	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0/0	0/1		0.0
primary	Domain_Following_Vowel	uncertain-initial-order / mixed/unknown-formative	Kuwi	2	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0/0	0/1		0.0
primary	Domain_Following_Vowel	uncertain-initial-order / mixed/unknown-formative	MalaMalasar	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	uncertain-initial-order / mixed/unknown-formative	MalaPulaya	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	uncertain-initial-order / mixed/unknown-formative	Malasar	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	uncertain-initial-order / mixed/unknown-formative	Malayalam	2	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0/1	0/1	0.0	0.0
primary	Domain_Following_Vowel	uncertain-initial-order / mixed/unknown-formative	Malto	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	uncertain-initial-order / mixed/unknown-formative	Manda	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	uncertain-initial-order / mixed/unknown-formative	Mannan	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	uncertain-initial-order / mixed/unknown-formative	Muduga	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	uncertain-initial-order / mixed/unknown-formative	Muthuvan	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	uncertain-initial-order / mixed/unknown-formative	Naiki	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	uncertain-initial-order / mixed/unknown-formative	Naikri	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	uncertain-initial-order / mixed/unknown-formative	Paliya	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	uncertain-initial-order / mixed/unknown-formative	PaluKurumba	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	uncertain-initial-order / mixed/unknown-formative	Parji	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	uncertain-initial-order / mixed/unknown-formative	Pengo	2	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0/0	0/1		0.0
primary	Domain_Following_Vowel	uncertain-initial-order / mixed/unknown-formative	Sholaga	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	uncertain-initial-order / mixed/unknown-formative	Tamil	2	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0/1	0/1	0.0	0.0
primary	Domain_Following_Vowel	uncertain-initial-order / mixed/unknown-formative	Telugu	2	2	0	0	0	1	0	0	1	0	0	0	1	1	2	0	0	0	0/1	0/2	0.0	0.0
primary	Domain_Following_Vowel	uncertain-initial-order / mixed/unknown-formative	Toda	2	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0/1	0/1	0.0	0.0
primary	Domain_Following_Vowel	uncertain-initial-order / mixed/unknown-formative	Tulu	2	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0/1	0/1	0.0	0.0
primary	Domain_Following_Vowel	uncertain-initial-order / mixed/unknown-formative	Urali	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Following_Vowel	uncertain-initial-order / mixed/unknown-formative	markodi	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Apical_Group	long-apical-input / alveolar	AluKurumba	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Apical_Group	long-apical-input / alveolar	Badaga	4	2	1	1	0	1	0	0	1	0	0	0	1	1	2	0	0	1	0/1	0/2	0.0	0.0
primary	Domain_Apical_Group	long-apical-input / alveolar	Belari	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Apical_Group	long-apical-input / alveolar	BettaKurumba	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Apical_Group	long-apical-input / alveolar	Brahui	4	1	0	3	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0/0	0/1		0.0
primary	Domain_Apical_Group	long-apical-input / alveolar	Eravallan	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Apical_Group	long-apical-input / alveolar	Gadaba	4	1	0	3	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0/1	0/1	0.0	0.0
primary	Domain_Apical_Group	long-apical-input / alveolar	Gondi	4	2	0	2	0	2	0	0	0	0	0	0	2	2	0	0	0	0	0/2	0/2	0.0	0.0
primary	Domain_Apical_Group	long-apical-input / alveolar	Irula	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Apical_Group	long-apical-input / alveolar	Kadar	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Apical_Group	long-apical-input / alveolar	Kannada	4	2	0	2	0	2	0	0	0	0	0	0	2	2	0	0	0	0	0/2	0/2	0.0	0.0
primary	Domain_Apical_Group	long-apical-input / alveolar	Kodagu	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Apical_Group	long-apical-input / alveolar	Kolami	4	1	0	3	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0/0	0/1		0.0
primary	Domain_Apical_Group	long-apical-input / alveolar	Konda	4	1	0	3	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0/1	0/1	0.0	0.0
primary	Domain_Apical_Group	long-apical-input / alveolar	Koraga	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Apical_Group	long-apical-input / alveolar	Kota	4	2	0	2	0	2	0	0	0	0	0	0	2	2	0	0	0	0	0/2	0/2	0.0	0.0
primary	Domain_Apical_Group	long-apical-input / alveolar	Kudiya	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Apical_Group	long-apical-input / alveolar	Kui	4	1	0	3	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0/1	0/1	0.0	0.0
primary	Domain_Apical_Group	long-apical-input / alveolar	Kurumba	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Apical_Group	long-apical-input / alveolar	Kurux	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Apical_Group	long-apical-input / alveolar	Kuwi	4	2	0	2	0	2	0	0	0	0	0	0	2	2	0	0	0	0	0/2	0/2	0.0	0.0
primary	Domain_Apical_Group	long-apical-input / alveolar	MalaMalasar	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Apical_Group	long-apical-input / alveolar	MalaPulaya	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Apical_Group	long-apical-input / alveolar	Malasar	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Apical_Group	long-apical-input / alveolar	Malayalam	4	3	0	1	0	3	0	0	0	0	0	0	3	3	0	0	0	0	0/3	0/3	0.0	0.0
primary	Domain_Apical_Group	long-apical-input / alveolar	Malto	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Apical_Group	long-apical-input / alveolar	Manda	4	2	0	2	0	2	0	0	0	0	0	0	2	2	0	0	0	0	0/2	0/2	0.0	0.0
primary	Domain_Apical_Group	long-apical-input / alveolar	Mannan	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Apical_Group	long-apical-input / alveolar	Muduga	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Apical_Group	long-apical-input / alveolar	Muthuvan	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain_Apical_Group	long-apical-input / alveolar	Naiki	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
