Partition	Input_Domain	Language_A	Language_B	Family_ID	Entry_IDs	Outcome_A	Outcome_B	Evidence_A	Evidence_B
primary	all-reviewed-inputs	Badaga	Gondi	d442	d442	R	R	f_i7nut7kvg5yum	f_6g4zaden26pty;f_cgsjs64y3lxp6;f_q5rcz3jjlu2zy;f_ts5erhykv7aeg;f_xqeviycn63vou;f_xyutyegkraza6
primary	all-reviewed-inputs	Badaga	Gondi	d474	d474	R	mixed	f_2iagqnw3w5dc6;f_aagqw7isbb35q;f_auyebxidqql5e;f_h7vk5w5b7ziog;f_ieuhfmtmpzwti;f_nd65wumcxzsig;f_nul3jlftuzzjw	f_2xk5vt5pjy6ys;f_4f2bibvi4ywum;f_6xorktlncefxg;f_gcdoqvcgc25zc;f_ievjyuqv3lpo6;f_m2z2lsic2ukum;f_q4fyyjq77iwjq;f_qwhxmonsllthe;f_t4fv2rxh23hb2;f_ta4fmdrsrks32;f_tv24kkkcjzkto;f_veygqvvhdsx5s;f_x26fnyv4zsyvu;f_x7jng6segu3ae;f_xzsthsw4u7jr4;f_yv4ji477sebk4;f_z5ajuco5x43ak;f_zibovlgfi3zdk
primary	all-reviewed-inputs	Badaga	Gondi	d504	d504	R	R	f_fxi5dy4uxjy2w	f_qw6oln5gv3o7a;f_wtkg7kxouhukc
primary	all-reviewed-inputs	Badaga	Gondi	d516	d516	R	D	f_e2c7mzz3iwwws;f_ixrwdf6hfsaua	f_5qbomrsowssha;f_b4ft7zxgk5yje;f_ccnblmod4vmio;f_eyddwqoelnepo;f_j4lrewvddp6ts;f_rd66nn7ofj4hw;f_rsss2d4yk7him
primary	all-reviewed-inputs	Badaga	Gondi	d524	d524	R	R	f_6t5epbxtmjtou;f_d32h4wuu2xt7g;f_gl7b5ldis52qw;f_rwta2r5chencs	f_kdxu3z2izxwmo;f_y7eal63hv3bbi
primary	all-reviewed-inputs	Badaga	Gondi	d587	d587	R	R	f_wfi2jos4rsnqa	f_csqo4yx3ad4em;f_jqtpx3nlti2ho;f_lu6hfxl7lrwsw;f_ps63bg5g5fsee;f_vmdqczmoilc46
primary	all-reviewed-inputs	Badaga	Gondi	d592	d592	R	R	f_gxi7xehnlwpwi	f_2o3q4x3dyivbo;f_5mqnws3thhnww;f_kzqifu3iuvbmw;f_nuajrql44mwys;f_x5vvhg4catqs6;f_x72bezngdfzwi;f_y3aqoburoulv2;f_ywqitl6smtor4
primary	all-reviewed-inputs	Badaga	Gondi	d656	d656	R	R	f_3j7mgenvppt6c;f_cjov232xeu2wy;f_cvr7mck3ofspk;f_im2obqa4wh3iu;f_ovlhb6iv3v6km;f_y4vgstfdihjv6	f_ao3db3saxb4ry
primary	all-reviewed-inputs	Badaga	Gondi	d661	d661	R	R	f_2fki3gnrxho2m	f_4gykxheh6mnrk;f_cj73cqi4qcg4e;f_giaixjmpohbsk;f_m2gkco7wete64
primary	all-reviewed-inputs	Badaga	Gondi	d665	d665	R	R	f_4drh7jjpicdou;f_firbegiwvoade;f_zcgbkkm2por54	f_bnghoc7odnhd4;f_fp7x3urgbwsvy;f_k2rn72umugp4a;f_mkfudovx4h7tk;f_mu7z2t4sisxjs;f_p4qihrweivuoi;f_y5mh6ueq2tdzo
