ID	Language_ID	Form	Gloss	Native	Phonemic	Original	Cognateset	Description	Tags	Source	Etymology	Redirect	Status	Research_Group	DEDR_ID	Accepted_Root_ID	Immediate_Parent_ID	Immediate_Kind	Borrowed_In_Path	Clade	Is_Dravidian	Candidate_Flags
f_pi7fibzwji2wm	Kuwi	ḍonḍoˀ oṛi	big black ant			ḍonḍoˀ oṛi	0:	Isr.		dedr;Isr-Kuwi				d2969	d2969	d2969	d2969	reflex	0	S. Dravidian II	1	short-vowel-apical;postapical-cluster
f_pis6b46fcgn2g	Manda	kupki	to fill			kupki-	0:			dedr				d1731	d1731	d1731	d1731	reflex	0	S. Dravidian II	1	nonapical-control
f_pjozm4xuvtthk	Kui	ūpka	(&lt;ūk-p-; ūkt-) to strip off, skin; skinning			ūpka	0:(a) Koḍ. uḷïk- (uḷïki-) to flay.		noun	dedr				d757	d757	d757	d757	reflex	0	S. Dravidian II	1	
f_pnjkptxd6duhy	Pengo	apka	id			apka	0:	Isr.		dedr				d153	d153	d153	d153	reflex	0	S. Dravidian II	1	nonapical-control
f_qe72b6bw7tqao	Kui	vṛēppa (vṛēpt-)	to cause to return, turn back , pay back, return something borrowed or pledged; turning something back, repayment, return			vṛēppa (vṛēpt-)	0:		tr noun	dedr				d5481	d5481	d5481	d5481	reflex	0	S. Dravidian II	1	
f_qgvjdtv2ttoyg	Pengo	tripka- (&lt; trik-pa-)	to be startled			tripka- (&lt; trik-pa-)	0:			dedr				d3253	d3253	d3253	d3253	reflex	0	S. Dravidian II	1	
f_qhot7vlbdc3mu	Kui	mlūpka	(&lt;mlūk-p-; mlūkt-) to cover			mlūpka	0:			dedr				d5002	d5002	d5002	d5002	reflex	0	S. Dravidian II	1	
f_qjdj2voohgwei	Manda	nēbga	id			nēbga-	0:		intensive	dedr				d3570	d3570	d3570	d3570	reflex	0	S. Dravidian II	1	
f_qoztnu46jjrho	Kuwi	kakpinai	to joke			kakpinai	0:	S.		dedr;S-Kuwi				d1080	d1080	d1080	d1080	reflex	0	S. Dravidian II	1	nonapical-control
f_qu7uboe3kue5i	Kui	tlāpka (&lt; tlāk-p-; tlākt-)	to be rocked to and fro, pitch, sway, be tossed violently backwards and forwards and up and down			tlāpka (&lt; tlāk-p-; tlākt-)	0:		tr	dedr				d3359	d3359	d3359	d3359	reflex	0	S. Dravidian II	1	
f_qwsgre2k35ii2	Kui	vripka (&lt; vrik-p-; vrikt-)	to pull to pieces, untie, loosen, disperse; dismantling, unfastening, dismissing			vripka (&lt; vrik-p-; vrikt-)	0:		noun	dedr				d5411	d5411	d5411	d5411	reflex	0	S. Dravidian II	1	
f_r5nhjtehubhv4	Kuwi	hāpu ( hāpka)	id. DED(S) 2035			hāpu ( hāpka)	0:	Su. P.	pl dialect:Kuwi:bisam:Bisamkatak	dedr				d2468	d2468	d2468	d2468	reflex	0	S. Dravidian II	1	
f_rwufvsvfhvi4i	Kui	mrunga vīpka	to break away from a torn part			mrunga vīpka	0:			dedr				d4975	d4975	d4975	d4975	reflex	0	S. Dravidian II	1	
f_sd7olgoxg7rjw	Kui	slipka	(&lt;slik-p-; slikt-)to loose, untie, pluck off			slipka	0:			dedr				d2585	d2585	d2585	d2585	reflex	0	S. Dravidian II	1	
