mode,concept,score,band,dardic_family_id,plains_family_id,dardic_age,plains_age,age_order
entry,FALSE,0.449949,Middle: 0.4–<0.6,5001,5407,Epic,Reconstructed only,At least one undated
entry,COME,0.448549,Middle: 0.4–<0.6,10452,1200,Early-Vedic,Early-Vedic,Same tagged era
entry,SILVER,0.444293,Middle: 0.4–<0.6,10805,4669,Epic,Early-Vedic,Plains earlier
entry,LEG,0.442886,Middle: 0.4–<0.6,3906,5428,Undated OIA,Undated OIA,At least one undated
entry,CHEEK,0.441667,Middle: 0.4–<0.6,2755,4089,Classical,Medieval,Dardic earlier
entry,CARPENTER,0.439444,Middle: 0.4–<0.6,5621,11375,Early-Vedic,Epic,Dardic earlier
entry,UNDERSTAND,0.438141,Middle: 0.4–<0.6,7848,9279,Reconstructed only,Early-Vedic,At least one undated
entry,SIEVE,0.433333,Middle: 0.4–<0.6,7843,4771,Early-Vedic,Epic,Dardic earlier
entry,NIPPLE,0.433025,Middle: 0.4–<0.6,4855,13666,Reconstructed only,Early-Vedic,At least one undated
entry,WINDOW,0.429167,Middle: 0.4–<0.6,6651,3770,Reconstructed only,Undated OIA,At least one undated
entry,WALNUT,0.427778,Middle: 0.4–<0.6,12079,48,Reconstructed only,Classical,At least one undated
entry,SELL,0.425926,Middle: 0.4–<0.6,3594,12100,Early-Vedic,Reconstructed only,At least one undated
entry,WEIGH,0.425926,Middle: 0.4–<0.6,5979,10525,Epic,Reconstructed only,At least one undated
entry,ROOF,0.425505,Middle: 0.4–<0.6,12326,4971,Early-Vedic,Reconstructed only,At least one undated
entry,FIG,0.425,Middle: 0.4–<0.6,2749,174,Epic,Undated OIA,At least one undated
entry,HEAD,0.423799,Middle: 0.4–<0.6,12497,9926,Early-Vedic,Early-Vedic,Same tagged era
entry,WHAT,0.420615,Middle: 0.4–<0.6,3164,3196,Undated OIA,Undated OIA,At least one undated
entry,MOTHER,0.418886,Middle: 0.4–<0.6,1351,10016,Undated OIA,Early-Vedic,At least one undated
entry,ARROW,0.416667,Middle: 0.4–<0.6,3023,9203,Early-Vedic,Early-Vedic,Same tagged era
entry,FILL,0.416667,Middle: 0.4–<0.6,8335,9397,Early-Vedic,Early-Vedic,Same tagged era
entry,BEE,0.405,Middle: 0.4–<0.6,9990,9651,Reconstructed only,Epic,At least one undated
entry,COUNT,0.404167,Middle: 0.4–<0.6,11108,3993,Epic,Epic,Same tagged era
entry,TAIL,0.399942,Middle: 0.2–<0.4,11096,8249,Undated OIA,Early-Vedic,At least one undated
entry,BITTER,0.399123,Middle: 0.2–<0.4,5938,5806,Undated OIA,Epic,At least one undated
entry,NEW,0.397197,Middle: 0.2–<0.4,6983,7025,Early-Vedic,Early-Vedic,Same tagged era
entry,ASH,0.397095,Middle: 0.2–<0.4,5020,10552,Undated OIA,Undated OIA,At least one undated
entry,BREAST,0.396717,Middle: 0.2–<0.4,4855,5014,Reconstructed only,Reconstructed only,At least one undated
entry,SEE,0.396656,Middle: 0.2–<0.4,8012,6507,Early-Vedic,Reconstructed only,At least one undated
entry,OTHER,0.396368,Middle: 0.2–<0.4,434,399,Early-Vedic,Undated OIA,At least one undated
entry,FAT (ORGANIC SUBSTANCE),0.395939,Middle: 0.2–<0.4,10323,f_edny5jsgvz5fk,Early-Vedic,Other origin,At least one undated
entry,SOFT,0.393333,Middle: 0.2–<0.4,3523,f_6ygkx7x6pjw72,Epic,Other origin,At least one undated
entry,DOVE,0.391667,Middle: 0.2–<0.4,2753,8109,Early-Vedic,Early-Vedic,Same tagged era
entry,RED,0.386374,Middle: 0.2–<0.4,11168,f_pa2wkl7fezmhg,Reconstructed only,Other origin,At least one undated
entry,ECLIPSE,0.385714,Middle: 0.2–<0.4,386,4364,Epic,Early-Vedic,Plains earlier
entry,WET,0.382651,Middle: 0.2–<0.4,1340,9502,Early-Vedic,Reconstructed only,At least one undated
entry,ENTER,0.378307,Middle: 0.2–<0.4,227,5592,Early-Vedic,Reconstructed only,At least one undated
entry,SAY,0.375641,Middle: 0.2–<0.4,9837,9383,Early-Vedic,Early-Vedic,Same tagged era
entry,EARTH (SOIL),0.373483,Middle: 0.2–<0.4,6744,10286,Epic,Early-Vedic,Plains earlier
entry,NARROW,0.366111,Middle: 0.2–<0.4,1440,12817,Early-Vedic,Epic,Dardic earlier
entry,BAD,0.365579,Middle: 0.2–<0.4,10930,f_4txbqir4uazlw,Reconstructed only,Other origin,At least one undated
entry,SPIDER WEB,0.364583,Middle: 0.2–<0.4,10042,5213,Early-Vedic,Early-Vedic,Same tagged era
entry,DECEIT,0.363879,Middle: 0.2–<0.4,5001,6894,Epic,Reconstructed only,At least one undated
entry,KNIFE,0.356155,Middle: 0.2–<0.4,2860,f_f5yhi6kl6jazu,Reconstructed only,Other origin,At least one undated
entry,TAKE,0.355873,Middle: 0.2–<0.4,4236,10948,Early-Vedic,Early-Vedic,Same tagged era
entry,CROOKED,0.355801,Middle: 0.2–<0.4,3533,11191,Reconstructed only,Undated OIA,At least one undated
entry,CAP,0.355556,Middle: 0.2–<0.4,3942,5481,Medieval,Reconstructed only,At least one undated
entry,DANCE,0.355,Middle: 0.2–<0.4,7580,7583,Early-Vedic,Early-Vedic,Same tagged era
entry,COPPER,0.352381,Middle: 0.2–<0.4,10752,5779,Medieval,Early-Vedic,Plains earlier
entry,GROW,0.352244,Middle: 0.2–<0.4,11376,1814,Early-Vedic,Early-Vedic,Same tagged era
entry,NECK,0.347854,Middle: 0.2–<0.4,9732,4472,Epic,Reconstructed only,At least one undated
entry,SPLEEN,0.347727,Middle: 0.2–<0.4,12664,9028,Early-Vedic,Early-Vedic,Same tagged era
entry,CALF,0.345445,Middle: 0.2–<0.4,11239,11243,Early-Vedic,Medieval,Dardic earlier
entry,NEIGHBOUR,0.343636,Middle: 0.2–<0.4,4376,8599,Reconstructed only,Epic,At least one undated
entry,STEAL,0.343636,Middle: 0.2–<0.4,447,4933,Reconstructed only,Undated OIA,At least one undated
entry,WOOD,0.334444,Middle: 0.2–<0.4,6298,3120,Epic,Early-Vedic,Plains earlier
entry,POST,0.331333,Middle: 0.2–<0.4,13774,3893,Early-Vedic,Reconstructed only,At least one undated
entry,DAY BEFORE YESTERDAY,0.33,Middle: 0.2–<0.4,1130,7799j,Reconstructed only,Epic,At least one undated
entry,WIDOW,0.329583,Middle: 0.2–<0.4,3001,10593,Reconstructed only,Medieval,At least one undated
entry,WHITE,0.329029,Middle: 0.2–<0.4,8047,6767,Early-Vedic,Classical,Dardic earlier
entry,BRING,0.325758,Middle: 0.2–<0.4,4236,1174,Early-Vedic,Early-Vedic,Same tagged era
entry,LATE,0.325714,Middle: 0.2–<0.4,4824,5590,Undated OIA,Reconstructed only,At least one undated
entry,VEIN,0.325455,Middle: 0.2–<0.4,13794,7047,Reconstructed only,Early-Vedic,At least one undated
entry,YOUNG GOAT (KID),0.325,Middle: 0.2–<0.4,4963,8015,Early-Vedic,Reconstructed only,At least one undated
entry,SON,0.324921,Middle: 0.2–<0.4,8265,9238,Early-Vedic,Reconstructed only,At least one undated
entry,SALIVA,0.322421,Middle: 0.2–<0.4,6097,11027,Reconstructed only,Classical,At least one undated
entry,NEAR,0.322222,Middle: 0.2–<0.4,7136,8118,Undated OIA,Early-Vedic,At least one undated
entry,GREEN,0.31684,Middle: 0.2–<0.4,7563,12672,Early-Vedic,Undated OIA,At least one undated
entry,MIDDLE,0.316783,Middle: 0.2–<0.4,9810,12042,Early-Vedic,Reconstructed only,At least one undated
entry,LAME,0.316667,Middle: 0.2–<0.4,3941,11044,Early-Vedic,Reconstructed only,At least one undated
entry,SEND,0.312579,Middle: 0.2–<0.4,8908,9603,Early-Vedic,Reconstructed only,At least one undated
entry,BOY,0.312206,Middle: 0.2–<0.4,8399,5070,Undated OIA,Reconstructed only,At least one undated
entry,HEAR,0.308625,Middle: 0.2–<0.4,9279,12598,Early-Vedic,Early-Vedic,Same tagged era
entry,BEHIND,0.305455,Middle: 0.2–<0.4,7732,7990,Reconstructed only,Reconstructed only,At least one undated
entry,MILLET,0.304071,Middle: 0.2–<0.4,195,9201,Reconstructed only,Reconstructed only,At least one undated
entry,MANY,0.303015,Middle: 0.2–<0.4,9193,9190,Early-Vedic,Epic,Dardic earlier
entry,RUN,0.300444,Middle: 0.2–<0.4,5727,6624,Reconstructed only,Early-Vedic,At least one undated
entry,MALE GOAT,0.3,Middle: 0.2–<0.4,12056,9312,Early-Vedic,Reconstructed only,At least one undated
entry,SHORT,0.296667,Middle: 0.2–<0.4,3895,5071,Reconstructed only,Reconstructed only,At least one undated
entry,FIREPLACE,0.295139,Middle: 0.2–<0.4,6888,4879,Reconstructed only,Epic,At least one undated
entry,NO,0.29375,Middle: 0.2–<0.4,6906,1031,Early-Vedic,Early-Vedic,Same tagged era
entry,HILL,0.293308,Middle: 0.2–<0.4,6793,8141,Early-Vedic,Reconstructed only,At least one undated
entry,HEEL,0.292929,Middle: 0.2–<0.4,3911,191,Undated OIA,Reconstructed only,At least one undated
entry,MALE,0.292411,Middle: 0.2–<0.4,12056,6970,Early-Vedic,Early-Vedic,Same tagged era
