mode,cohort,held_out,concept,target,dardic_family_id,plains_family_id,category,families
entry,Score ≥0.4,False,CLOUD,Either language,549,11567,"Plains family, not Dardic family",11567;f_awzexkx3bkegs
entry,Score ≥0.4,False,MOUSE,Sindhi,10258,4899,No attestation,
entry,Score ≥0.4,False,MOUSE,Lahnda,10258,4899,"Plains family, not Dardic family",4899
entry,Score ≥0.4,False,MOUSE,Either language,10258,4899,"Plains family, not Dardic family",4899
entry,Score ≥0.4,False,RIGHT,Sindhi,6119,6251,Other resolved families only,13095
entry,Score ≥0.4,False,RIGHT,Lahnda,6119,6251,Other resolved families only,13095
entry,Score ≥0.4,False,RIGHT,Either language,6119,6251,Other resolved families only,13095
entry,Score ≥0.4,False,RICE,Sindhi,5637,4749,No attestation,
entry,Score ≥0.4,False,RICE,Lahnda,5637,4749,"Plains family, not Dardic family",4749;6778
entry,Score ≥0.4,False,RICE,Either language,5637,4749,"Plains family, not Dardic family",4749;6778
entry,Score ≥0.4,False,YEAR,Sindhi,3084,11392,"Plains family, not Dardic family",11392
entry,Score ≥0.4,False,YEAR,Lahnda,3084,11392,"Plains family, not Dardic family",11392
entry,Score ≥0.4,False,YEAR,Either language,3084,11392,"Plains family, not Dardic family",11392
entry,Score ≥0.4,False,ANT,Sindhi,8201,4822,No attestation,
entry,Score ≥0.4,False,ANT,Lahnda,8201,4822,No attestation,
entry,Score ≥0.4,False,ANT,Either language,8201,4822,No attestation,
entry,Score ≥0.4,False,READ,Sindhi,9837,7712,"Plains family, not Dardic family",7712
entry,Score ≥0.4,False,READ,Lahnda,9837,7712,"Plains family, not Dardic family",7712
entry,Score ≥0.4,False,READ,Either language,9837,7712,"Plains family, not Dardic family",7712
entry,Score ≥0.4,False,HONEY,Sindhi,9989,9784,"Dardic family, not Plains family",9989
entry,Score ≥0.4,False,HONEY,Lahnda,9989,9784,"Dardic family, not Plains family",9989
entry,Score ≥0.4,False,HONEY,Either language,9989,9784,"Dardic family, not Plains family",9989
entry,Score ≥0.4,False,SOUR,Sindhi,4850,3777,"Plains family, not Dardic family",3777;5617
entry,Score ≥0.4,False,SOUR,Lahnda,4850,3777,"Plains family, not Dardic family",3777
entry,Score ≥0.4,False,SOUR,Either language,4850,3777,"Plains family, not Dardic family",3777;5617
entry,Score ≥0.4,False,CURVED,Sindhi,3533,5474,No attestation,
entry,Score ≥0.4,False,CURVED,Lahnda,3533,5474,No attestation,
entry,Score ≥0.4,False,CURVED,Either language,3533,5474,No attestation,
entry,Score ≥0.4,False,DOOR,Sindhi,6651,6459,No attestation,
entry,Score ≥0.4,False,DOOR,Lahnda,6651,6459,No attestation,
entry,Score ≥0.4,False,DOOR,Either language,6651,6459,No attestation,
entry,Score ≥0.4,False,ROOT,Sindhi,7047,5086,"Plains family, not Dardic family",5086
entry,Score ≥0.4,False,ROOT,Lahnda,7047,5086,"Plains family, not Dardic family",10247;10250;5086
entry,Score ≥0.4,False,ROOT,Either language,7047,5086,"Plains family, not Dardic family",10247;10250;5086
entry,Score ≥0.4,False,WORK (LABOUR),Sindhi,2892,3078,"Plains family, not Dardic family",2791;3064;3078;8422
entry,Score ≥0.4,False,WORK (LABOUR),Lahnda,2892,3078,Other resolved families only,3064
entry,Score ≥0.4,False,WORK (LABOUR),Either language,2892,3078,"Plains family, not Dardic family",2791;3064;3078;8422
entry,Score ≥0.4,False,BARKING,Sindhi,10714,9265,"Plains family, not Dardic family",9265;9423-2
entry,Score ≥0.4,False,BARKING,Lahnda,10714,9265,No attestation,
entry,Score ≥0.4,False,BARKING,Either language,10714,9265,"Plains family, not Dardic family",9265;9423-2
entry,Score ≥0.4,False,ASK (INQUIRE),Sindhi,3929,8352,No attestation,
entry,Score ≥0.4,False,ASK (INQUIRE),Lahnda,3929,8352,No attestation,
entry,Score ≥0.4,False,ASK (INQUIRE),Either language,3929,8352,No attestation,
entry,Score ≥0.4,False,WOUND,Sindhi,8906,4460,"Plains family, not Dardic family",11372;13817;2852;4460;4463;9038
entry,Score ≥0.4,False,WOUND,Lahnda,8906,4460,"Dardic family, not Plains family",13579;13817;8906
entry,Score ≥0.4,False,WOUND,Either language,8906,4460,Both focal families,11372;13579;13817;2852;4460;4463;8906;9038
entry,Score ≥0.4,False,HOUSE,Sindhi,4336,4428,"Plains family, not Dardic family",4428
entry,Score ≥0.4,False,HOUSE,Lahnda,4336,4428,"Plains family, not Dardic family",3546;4428
entry,Score ≥0.4,False,HOUSE,Either language,4336,4428,"Plains family, not Dardic family",3546;4428
entry,Score ≥0.4,False,BLIND,Sindhi,12717,385,"Plains family, not Dardic family",385
entry,Score ≥0.4,False,BLIND,Lahnda,12717,385,No attestation,
entry,Score ≥0.4,False,BLIND,Either language,12717,385,"Plains family, not Dardic family",385
entry,Score ≥0.4,False,WINTER,Sindhi,14164,12486,"Plains family, not Dardic family",12486
entry,Score ≥0.4,False,WINTER,Lahnda,14164,12486,"Plains family, not Dardic family",12486
entry,Score ≥0.4,False,WINTER,Either language,14164,12486,"Plains family, not Dardic family",12486
entry,Score ≥0.4,False,BEAN,Sindhi,10685,12445,No attestation,
entry,Score ≥0.4,False,BEAN,Lahnda,10685,12445,No attestation,
entry,Score ≥0.4,False,BEAN,Either language,10685,12445,No attestation,
entry,Score ≥0.4,False,GRASSHOPPER,Sindhi,12345,7721,No attestation,
entry,Score ≥0.4,False,GRASSHOPPER,Lahnda,12345,7721,Other resolved families only,6024
entry,Score ≥0.4,False,GRASSHOPPER,Either language,12345,7721,Other resolved families only,6024
entry,Score ≥0.4,False,PATH,Sindhi,7785,4009,Other resolved families only,10071;10612;11366;4414
entry,Score ≥0.4,False,PATH,Lahnda,7785,4009,Other resolved families only,11363
entry,Score ≥0.4,False,PATH,Either language,7785,4009,Other resolved families only,10071;10612;11363;11366;4414
entry,Score ≥0.4,False,DAUGHTER,Sindhi,6481,9238,Other resolved families only,10001;574;6931
entry,Score ≥0.4,False,DAUGHTER,Lahnda,6481,9238,Other resolved families only,10001
entry,Score ≥0.4,False,DAUGHTER,Either language,6481,9238,Other resolved families only,10001;574;6931
entry,Score ≥0.4,False,THIS,Sindhi,587,2530,No attestation,
entry,Score ≥0.4,False,THIS,Lahnda,587,2530,No attestation,
entry,Score ≥0.4,False,THIS,Either language,587,2530,No attestation,
entry,Score ≥0.4,False,COLUMN,Sindhi,13774,13682,"Plains family, not Dardic family",13682
entry,Score ≥0.4,False,COLUMN,Lahnda,13774,13682,Other resolved families only,10191
entry,Score ≥0.4,False,COLUMN,Either language,13774,13682,"Plains family, not Dardic family",10191;13682
entry,Score ≥0.4,False,RIB,Sindhi,7948,7948-3,Other resolved families only,7685;8121
entry,Score ≥0.4,False,RIB,Lahnda,7948,7948-3,"Plains family, not Dardic family",7948-3
entry,Score ≥0.4,False,RIB,Either language,7948,7948-3,"Plains family, not Dardic family",7685;7948-3;8121
entry,Score ≥0.4,False,AXE,Sindhi,5427,3244,"Plains family, not Dardic family",3244
entry,Score ≥0.4,False,AXE,Lahnda,5427,3244,"Plains family, not Dardic family",3244
entry,Score ≥0.4,False,AXE,Either language,5427,3244,"Plains family, not Dardic family",3244
entry,Score ≥0.4,False,SHEEP,Sindhi,2512,9606,No attestation,
entry,Score ≥0.4,False,SHEEP,Lahnda,2512,9606,"Plains family, not Dardic family",7988;9606
entry,Score ≥0.4,False,SHEEP,Either language,2512,9606,"Plains family, not Dardic family",7988;9606
entry,Score ≥0.4,False,RAT,Sindhi,10258,2095,Other resolved families only,4899
entry,Score ≥0.4,False,RAT,Lahnda,10258,2095,Other resolved families only,4899
entry,Score ≥0.4,False,RAT,Either language,10258,2095,Other resolved families only,4899
entry,Score ≥0.4,False,BELLY,Sindhi,1932,8376,"Plains family, not Dardic family",5536;5589;8376
entry,Score ≥0.4,False,BELLY,Lahnda,1932,8376,Other resolved families only,5589
entry,Score ≥0.4,False,BELLY,Either language,1932,8376,"Plains family, not Dardic family",5536;5589;8376
entry,Score ≥0.4,False,MOUTH,Sindhi,1533,10158,"Plains family, not Dardic family",10158;12196;9299
entry,Score ≥0.4,False,MOUTH,Lahnda,1533,10158,Other resolved families only,12196;9299
entry,Score ≥0.4,False,MOUTH,Either language,1533,10158,"Plains family, not Dardic family",10158;12196;9299
entry,Score ≥0.4,False,UNHUSKED RICE,Sindhi,12415,6778,"Dardic family, not Plains family",12415
entry,Score ≥0.4,False,UNHUSKED RICE,Lahnda,12415,6778,No attestation,
entry,Score ≥0.4,False,UNHUSKED RICE,Either language,12415,6778,"Dardic family, not Plains family",12415
entry,Score ≥0.4,False,BIG,Sindhi,4424,11225,"Plains family, not Dardic family",11225
entry,Score ≥0.4,False,BIG,Lahnda,4424,11225,"Plains family, not Dardic family",11225;13776;9187
entry,Score ≥0.4,False,BIG,Either language,4424,11225,"Plains family, not Dardic family",11225;13776;9187
entry,Score ≥0.4,False,SHIRT,Sindhi,7838,5415,"Dardic family, not Plains family",7838
entry,Score ≥0.4,False,SHIRT,Lahnda,7838,5415,No attestation,
