chart,view,concept,unit,group,latitude,longitude,representative_language,categories,values,families
dardic-asymmetric,SAND,SAND,kath1250,plains,28.53981,80.797511,Kathoriya,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,SAND,SAND,konk1267,plains,15.2993,74.124,Ko,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",10821;8296
dardic-asymmetric,SAND,SAND,luwa1238,plains,23.616667,58.566667,maimani,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,SAND,SAND,maga1260,plains,25.0915,85.3335,MagahiNepal,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,SAND,SAND,mait1250,plains,26.38,86.22,Mth,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",11580
dardic-asymmetric,SAND,SAND,malv1243,plains,24.243083,75.027707,mewari_basad,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",10816
dardic-asymmetric,SAND,SAND,mara1378,plains,18.5204,73.8567,M,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",10816;11580
dardic-asymmetric,SAND,SAND,marw1260,plains,27.0,75.07,Marw,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",10816;11580;6835
dardic-asymmetric,SAND,SAND,mewa1249,plains,25.084731,74.220835,mewari_dholpura,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",10816;11580
dardic-asymmetric,SAND,SAND,mewa1250,plains,27.817648,77.035043,mewati_akera,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",10816;11580;9530
dardic-asymmetric,SAND,SAND,nima1243,plains,22.1263,76.1264,Nimadi,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,SAND,SAND,noir1238,plains,,,,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,SAND,SAND,oriy1255,plains,21.0,85.0,Or,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,SAND,SAND,paha1251,plains,33.148,73.7537,poth,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,SAND,SAND,paly1238,plains,21.937,75.233,PalyaBareli,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,SAND,SAND,panj1256,plains,30.04,75.67,P,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",10816;11580
dardic-asymmetric,SAND,SAND,paur1238,plains,21.228,74.337,PauriBareli,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,SAND,SAND,raja1256,plains,26.47,76.2,Rj,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",10816
dardic-asymmetric,SAND,SAND,rajb1243,plains,26.4877,87.79265,MH,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",11580
dardic-asymmetric,SAND,SAND,rana1246,plains,28.65,80.44,Rana,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",10816
dardic-asymmetric,SAND,SAND,rang1265,plains,26.280348,89.39468,BH,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",11580
dardic-asymmetric,SAND,SAND,rath1242,plains,21.4375,74.9958,RathwiBareli,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,SAND,SAND,rath1243,plains,22.309,73.186,Rathawi,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,SAND,SAND,sera1259,plains,29.55,71.91,srk,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,SAND,SAND,shek1243,plains,27.978027,75.163279,dhundari_badagaon,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",10286;11580
dardic-asymmetric,SAND,SAND,surg1246,plains,23.045719,83.189104,SSr,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",11580
dardic-asymmetric,SAND,SAND,surj1235,plains,26.0982,87.945,KS,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",11580
dardic-asymmetric,SAND,SAND,thar1284,plains,28.837028,80.320613,Sunha,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,SAND,SAND,vaag1238,plains,12.21,79.53,VB,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,SAND,SAND,vasa1239,plains,,,,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,SAND,SAND,wadi1248,plains,26.07,72.13,WK,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",10816
dardic-asymmetric,SAND,SAND,wagd1238,plains,24.137701,74.047239,mewari_bannoda,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",10816
dardic-asymmetric,SAND,SAND,west2386,plains,31.1704,72.7097,L,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",10816
dardic-asymmetric,LAKE,LAKE,gowr1239,dardic,35.1243,73.1233,Gowro,"[""sáras"", ""Other resolved families"", ""No included family""]","[1.0, 0.0, 0.0]",13254
dardic-asymmetric,LAKE,LAKE,indu1241,dardic,35.34,73.02,Mai,"[""sáras"", ""Other resolved families"", ""No included family""]","[1.0, 0.0, 0.0]",13254
dardic-asymmetric,LAKE,LAKE,kala1372,dardic,35.64,71.67,Kal,"[""sáras"", ""Other resolved families"", ""No included family""]","[1.0, 0.0, 0.0]",13254
dardic-asymmetric,LAKE,LAKE,kalk1245,dardic,35.41,72.17,Kalk,"[""sáras"", ""Other resolved families"", ""No included family""]","[1.0, 0.0, 0.0]",13254
dardic-asymmetric,LAKE,LAKE,kash1277,dardic,34.17,74.33,K,"[""sáras"", ""Other resolved families"", ""No included family""]","[1.0, 0.0, 0.0]",13254
dardic-asymmetric,LAKE,LAKE,khow1242,dardic,36.0,72.0,Kho,"[""sáras"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,LAKE,LAKE,phal1254,dardic,35.51,71.84,Phal,"[""sáras"", ""Other resolved families"", ""No included family""]","[1.0, 0.0, 0.0]",13254
dardic-asymmetric,LAKE,LAKE,shin1264,dardic,34.65,75.29,Sh,"[""sáras"", ""Other resolved families"", ""No included family""]","[1.0, 0.0, 0.0]",13254
dardic-asymmetric,LAKE,LAKE,assa1263,plains,26.7509,94.2037,A,"[""sáras"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",8425;9245
dardic-asymmetric,LAKE,LAKE,beng1280,plains,23.471,88.5565,B,"[""sáras"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",13325;5392;6627;8425
dardic-asymmetric,LAKE,LAKE,bhoj1244,plains,26.46,84.82,Bhoj,"[""sáras"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",6627;8425
dardic-asymmetric,LAKE,LAKE,biha1245,plains,24.68,87.5,Bi,"[""sáras"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",8425
dardic-asymmetric,LAKE,LAKE,halb1244,plains,20.31,81.37,hal,"[""sáras"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,LAKE,LAKE,hind1269,plains,28.7041,77.1025,H,"[""sáras"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",5155;5392;5742;8425
dardic-asymmetric,LAKE,LAKE,khol1241,plains,27.12,54.3,Khol,"[""sáras"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",7081
dardic-asymmetric,LAKE,LAKE,mait1250,plains,26.38,86.22,Mth,"[""sáras"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",5392;8425
dardic-asymmetric,LAKE,LAKE,mara1378,plains,18.5204,73.8567,M,"[""sáras"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",5742;8425
dardic-asymmetric,LAKE,LAKE,oriy1255,plains,21.0,85.0,Or,"[""sáras"", ""Other resolved families"", ""No included family""]","[0.25, 0.75, 0.0]",13254;5392;6627;8425
dardic-asymmetric,LAKE,LAKE,panj1256,plains,30.04,75.67,P,"[""sáras"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",5578
dardic-asymmetric,LAKE,LAKE,rajb1243,plains,26.4877,87.79265,MH,"[""sáras"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,LAKE,LAKE,rang1265,plains,26.280348,89.39468,BH,"[""sáras"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,LAKE,LAKE,surj1235,plains,26.0982,87.945,KS,"[""sáras"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,LAKE,LAKE,vaag1238,plains,12.21,79.53,VB,"[""sáras"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,LAKE,LAKE,wadi1248,plains,26.07,72.13,WK,"[""sáras"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,LAKE,LAKE,west2386,plains,31.1704,72.7097,L,"[""sáras"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",3139
dardic-asymmetric,IRON,IRON,bate1261,dardic,34.95,72.92,bhatr,"[""cīmara"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,IRON,IRON,brok1247,dardic,34.53,76.6,bro,"[""cīmara"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,IRON,IRON,dame1241,dardic,35.3,71.68,Dm,"[""cīmara"", ""Other resolved families"", ""No included family""]","[1.0, 0.0, 0.0]",4842a
dardic-asymmetric,IRON,IRON,gawa1247,dardic,35.2,71.54,Gaw,"[""cīmara"", ""Other resolved families"", ""No included family""]","[1.0, 0.0, 0.0]",4842a
dardic-asymmetric,IRON,IRON,indu1241,dardic,35.34,73.02,Mai,"[""cīmara"", ""Other resolved families"", ""No included family""]","[1.0, 0.0, 0.0]",4842a
dardic-asymmetric,IRON,IRON,kala1372,dardic,35.64,71.67,Kal,"[""cīmara"", ""Other resolved families"", ""No included family""]","[1.0, 0.0, 0.0]",4842a
dardic-asymmetric,IRON,IRON,kala1373,dardic,35.53,72.57,Bshk,"[""cīmara"", ""Other resolved families"", ""No included family""]","[1.0, 0.0, 0.0]",4842a
dardic-asymmetric,IRON,IRON,kash1277,dardic,33.13,75.57,dod,"[""cīmara"", ""Other resolved families"", ""No included family""]","[0.5, 0.5, 0.0]",12367;4842a
dardic-asymmetric,IRON,IRON,khow1242,dardic,36.0,72.0,Kho,"[""cīmara"", ""Other resolved families"", ""No included family""]","[1.0, 0.0, 0.0]",4842a
dardic-asymmetric,IRON,IRON,nort2666,dardic,34.66,70.43,Pas,"[""cīmara"", ""Other resolved families"", ""No included family""]","[1.0, 0.0, 0.0]",4842a
