chart,view,concept,unit,group,latitude,longitude,representative_language,categories,values,families
dardic-language-evidence,MOUSTACHE,MOUSTACHE,gawa1247,dardic,35.2,71.54,Gaw,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 0.0, 0.0, 0.0, 1, 0.0]",4269
dardic-language-evidence,MOUSTACHE,MOUSTACHE,gowr1239,dardic,35.1243,73.1233,Gowro,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 0.0, 0.0, 0.0, 0.0, 1]",
dardic-language-evidence,MOUSTACHE,MOUSTACHE,gran1245,dardic,34.65,70.73,Gng,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 0.0, 0.0, 0.0, 0.0, 1]",
dardic-language-evidence,MOUSTACHE,MOUSTACHE,kala1372,dardic,35.64,71.67,Kal,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[1, 0.0, 0.0, 0.0, 0.0, 0.0]",9083
dardic-language-evidence,MOUSTACHE,MOUSTACHE,kala1373,dardic,35.53,72.57,Bshk,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[1, 0.0, 0.0, 0.0, 0.0, 0.0]",9083
dardic-language-evidence,MOUSTACHE,MOUSTACHE,kash1277,dardic,34.17,74.33,K,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 0.0, 0.0, 0.0, 1, 0.0]",4269
dardic-language-evidence,MOUSTACHE,MOUSTACHE,khow1242,dardic,36.0,72.0,Kho,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 0.0, 0.0, 0.0, 0.0, 1]",
dardic-language-evidence,MOUSTACHE,MOUSTACHE,nort2666,dardic,34.66,70.43,Pas,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 0.0, 0.0, 0.0, 0.0, 1]",
dardic-language-evidence,MOUSTACHE,MOUSTACHE,phal1254,dardic,35.51,71.84,Phal,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[1, 0.0, 0.0, 0.0, 0.0, 0.0]",9083
dardic-language-evidence,MOUSTACHE,MOUSTACHE,savi1242,dardic,35.3,71.56,Sv,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 0.0, 0.0, 0.0, 1, 0.0]",4269
dardic-language-evidence,MOUSTACHE,MOUSTACHE,shin1264,dardic,34.65,75.29,Sh,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[1, 0.0, 0.0, 0.0, 0.0, 0.0]",9083
