concept_id,concept,score,legacy_coverage_score,support_factor,dardic_positive_votes,plains_positive_votes,separation,eligible,dardic_family_id,dardic_family,plains_family_id,plains_family,dardic_linked,plains_linked,dardic_observed,plains_observed,dardic_coverage,plains_coverage,dardic_own,plains_own,dardic_cross,plains_cross,legacy_rank,rank
2252,PATH,0.555886,0.325494,1,11.0,7.666666666666666,0.555886,True,7785,pántʰā,4009,gáti,12,36,20,63,0.6,0.5714285714285714,0.9166666666666666,0.21296296296296294,0,0.017857142857142856,103,52
1357,DAUGHTER,0.553853,0.346681,1,13.833333333333334,13.166666666666664,0.553853,True,6481,duhitŕ̩,9238,*biḍḍa,17,36,22,71,0.7727272727272727,0.5070422535211268,0.8137254901960784,0.3657407407407407,0,0.07175925925925924,84,53
1214,THIS,0.553704,0.134224,0.8666666666666666,4.333333333333333,8.0,0.638889,True,587,ayám,2530,ēṣá,9,8,18,58,0.5,0.13793103448275862,0.48148148148148145,1.0,0.2037037037037037,0,456,54
2045,COLUMN,0.547576,0.560047,0.8666666666666668,14.0,4.333333333333334,0.631818,True,13774,stʰū́ṇā,13682,stambʰa,15,11,15,14,1.0,0.7857142857142857,0.9333333333333333,0.393939393939394,0.03333333333333333,0.0303030303030303,7,55
801,RIB,0.544643,0.295315,1,5.0,5.166666666666666,0.544643,True,7948,párśu,7948-3,*parsula-,7,12,10,14,0.7,0.8571428571428571,0.7142857142857143,0.4305555555555555,0,0.05555555555555555,127,56
677,AXE,0.542857,0.311403,1,6.5,26.666666666666668,0.542857,True,5427,ṭaŋka,3244,kuṭʰāra,11,35,18,65,0.6111111111111112,0.5384615384615384,0.5909090909090909,0.761904761904762,0.09090909090909091,0.17619047619047618,112,57
1331,SHEEP,0.542361,0.494248,1,8.333333333333332,9.0,0.542361,True,2512,ēḍa,9606,bʰēḍra,15,16,17,17,0.8823529411764706,0.9411764705882353,0.5555555555555555,0.5625,0.03333333333333333,0,15,58
1490,RAT,0.540476,0.268161,1,5.0,7.750000000000001,0.540476,True,10258,mūṣa,2095,undura,7,15,11,19,0.6363636363636364,0.7894736842105263,0.7142857142857143,0.5166666666666667,0,0.15,160,59
1251,BELLY,0.537413,0.38596,1,6.333333333333333,32.45,0.537413,True,1932,udára,8376,*pēṭṭa,19,43,22,72,0.8636363636363636,0.5972222222222222,0.3333333333333333,0.7546511627906978,0.013157894736842105,0,55,60
674,MOUTH,0.53574,0.349695,1,12.75,17.25,0.53574,True,1533,āsyà,10158,múkʰa,19,37,22,75,0.8636363636363636,0.49333333333333335,0.6710526315789473,0.46621621621621623,0.06578947368421052,0,80,61
2749,UNHUSKED RICE,0.535714,0.330719,1,6.0,9.5,0.535714,True,12415,śāli,6778,dʰānyà,7,14,7,18,1.0,0.7777777777777778,0.8571428571428571,0.6785714285714286,0.14285714285714285,0.32142857142857145,97,62
1202,BIG,0.533964,0.38327,1,10.533333333333331,26.78333333333333,0.533964,True,4424,gʰaná,11225,vaḍra,19,41,21,72,0.9047619047619048,0.5694444444444444,0.5543859649122806,0.6532520325203252,0.13157894736842105,0.008130081300813007,57,63
1622,SHIRT,0.533333,0.282843,0.8,5.0,4.0,0.666667,True,7838,paridʰā́na,5415,*jʰōla,6,6,8,9,0.75,0.6666666666666666,0.8333333333333334,0.6666666666666666,0,0.16666666666666666,142,64
635,MILK,0.532376,0.389477,1,12.333333333333334,33.2,0.532376,True,3696,kṣīrá,6391,dugdʰá,19,44,22,71,0.8636363636363636,0.6197183098591549,0.6491228070175439,0.7545454545454546,0.2631578947368421,0.07575757575757576,54,65
1782,GUEST,0.529773,0.537349,0.9,4.5,8.0,0.588636,True,8956,*prārtʰyaka,8973,prāhuṇa,10,11,11,12,0.9090909090909091,0.9166666666666666,0.45,0.7272727272727273,0,0,9,66
2139,MUROID (MOUSE OR RAT),0.525,0.143777,0.6,3.0,3.333333333333333,0.875,False,10258,mūṣa,4899,*cūha,3,4,5,8,0.6,0.5,1.0,0.8333333333333333,0,0.08333333333333333,420,67
2090,MY,0.523237,0.190147,1,6.0,6.0,0.523237,True,9691,ma,3873,kʰāni,8,13,14,36,0.5714285714285714,0.3611111111111111,0.75,0.46153846153846156,0.0625,0.10256410256410256,280,68
857,STONE,0.518651,0.377334,1,17.333333333333332,18.833333333333332,0.518651,True,11348,*varta,8857,prastará,20,42,23,69,0.8695652173913043,0.6086956521739131,0.8666666666666666,0.4484126984126984,0,0.2777777777777778,59,69
666,RIVER,0.51861,0.286554,1,6.0,25.0,0.51861,True,13415,síndʰu,6943,nadī́,13,31,22,60,0.5909090909090909,0.5166666666666667,0.46153846153846156,0.8064516129032258,0.23076923076923078,0,138,70
1834,SHE,0.518519,0.167979,0.6666666666666667,3.3333333333333335,13.0,0.777778,True,12815,sá,972,asáu,6,13,14,43,0.42857142857142855,0.3023255813953488,0.5555555555555556,1.0,0,0,346,71
1371,KNEE,0.517647,0.393292,1,12.5,6.0,0.517647,True,3243,*kuṭṭʰa,4272,*gōḍḍa,17,20,19,31,0.8947368421052632,0.6451612903225806,0.7352941176470589,0.3,0,0,49,72
1219,WORM,0.516827,0.314279,1,5.5,5.0,0.516827,True,3438,kŕ̩mi,3193,kīṭá,8,13,12,15,0.6666666666666666,0.8666666666666667,0.6875,0.38461538461538464,0,0.038461538461538464,111,73
1583,BRAIN,0.516667,0.365339,1,7.0,6.0,0.516667,True,9926,masta,4197,*gudda,10,15,15,20,0.6666666666666666,0.75,0.7,0.4,0,0.06666666666666667,66,74
657,PRICE,0.516667,0.393443,1,7.5,7.366666666666667,0.516667,True,10257,mūlya,6622,dramma,9,21,11,24,0.8181818181818182,0.875,0.8333333333333334,0.3507936507936508,0,0.15079365079365079,48,75
341,SICKLE,0.515278,0.305052,1,5.0,12.833333333333332,0.515278,True,100,aŋká,6260,dā́tra,9,20,16,26,0.5625,0.7692307692307693,0.5555555555555556,0.6416666666666666,0.16666666666666666,0,118,76
1210,HEAVY,0.507986,0.333051,1,9.5,15.200000000000003,0.507986,True,1962,*udguru,9465,bʰārika,16,36,20,67,0.8,0.5373134328358209,0.59375,0.4222222222222223,0,0,95,77
639,MOUNTAIN,0.506993,0.311013,1,6.0,6.5,0.506993,True,3792,kʰaṇḍá,8141,*pāhāḍa,13,11,20,19,0.65,0.5789473684210527,0.46153846153846156,0.5909090909090909,0.038461538461538464,0,113,78
2009,DOG,0.506916,0.354347,1,11.0,18.7,0.506916,True,3219,*kuccura,3275,*kutta,19,43,22,76,0.8636363636363636,0.5657894736842105,0.5789473684210527,0.43488372093023253,0,0,76,79
1235,WHO,0.505263,0.221722,1,8.0,12.833333333333334,0.505263,True,2574,ká,2575,kaḥ punar,15,19,20,74,0.75,0.25675675675675674,0.5333333333333333,0.6754385964912281,0.06666666666666667,0.13157894736842105,226,80
1370,MONTH,0.504304,0.307473,1,8.5,18.733333333333334,0.504304,True,10104,mā́sa,f_vbtodh3gxxoq2,mahīnā,13,35,18,68,0.7222222222222222,0.5147058823529411,0.6538461538461539,0.5352380952380953,0,0.18047619047619046,116,81
1531,BRANCH,0.500526,0.471801,0.9,4.5,12.583333333333332,0.55614,True,12260,śaŋkú,5546,ḍāla,10,19,11,24,0.9090909090909091,0.7916666666666666,0.45,0.6622807017543859,0,0,26,82
1869,BUY,0.494444,0.415416,1,8.333333333333332,5.7,0.494444,True,4236,gr̩bʰāyáti,3594,krīṇā́ti,11,12,11,17,1.0,0.7058823529411765,0.7575757575757575,0.47500000000000003,0.09090909090909091,0.15277777777777776,39,83
624,LAKE,0.494318,0.347152,0.7499999999999999,7.0,3.7499999999999996,0.659091,True,13254,sáras,8425,pauṣkara,7,11,8,17,0.875,0.6470588235294118,1.0,0.3409090909090909,0,0.022727272727272728,83,84
1618,GRANDSON,0.485625,0.188815,0.7,3.5,6.5,0.69375,True,8416,paútra,6955b,náptr̩,5,8,9,15,0.5555555555555556,0.5333333333333333,0.7,0.8125,0,0.125,290,85
1313,MOON,0.484211,0.328624,1,9.5,30.333333333333332,0.484211,True,5301,jyṓtsnā,4661,candrá,19,40,22,75,0.8636363636363636,0.5333333333333333,0.5,0.7583333333333333,0.13157894736842105,0.15833333333333333,98,86
848,THIRST,0.483333,0.429019,1,5.5,5.416666666666666,0.483333,True,5943,*tr̩ṣyā,8199,pipāsā́,10,13,11,15,0.9090909090909091,0.8666666666666667,0.55,0.41666666666666663,0,0,34,87
1225,DAY (NOT NIGHT),0.481151,0.347542,1,11.166666666666668,28.5,0.481151,True,6333,divasá,6328,dina,20,42,23,70,0.8695652173913043,0.6,0.5583333333333333,0.6785714285714286,0.016666666666666666,0.25793650793650796,81,88
1287,COLD,0.480976,0.337764,1,12.333333333333332,20.883333333333333,0.480976,True,12487,śītalá,13676,stabdʰa,18,44,22,73,0.8181818181818182,0.6027397260273972,0.6851851851851851,0.4746212121212121,0.027777777777777776,0.17007575757575757,91,89
1179,DAY AFTER TOMORROW,0.48,0.39036,0.9,4.5,8.0,0.533333,True,5912,tr̩tī́ya,7799j,paraśvas,10,12,16,14,0.625,0.8571428571428571,0.45,0.6666666666666666,0.05,0,53,90
1605,SKULL,0.48,0.193649,0.8,4.0,8.083333333333332,0.6,True,2744,kapā́la,3936,*kʰōppa,5,15,10,18,0.5,0.8333333333333334,0.8,0.5388888888888889,0,0.1388888888888889,271,91
1523,FORGET,0.478632,0.372104,0.9333333333333332,6.0,4.666666666666666,0.512821,True,1265,āmr̩ṣyatē,12021,vismarati,9,13,10,18,0.9,0.7222222222222222,0.6666666666666666,0.3589743589743589,0,0,61,92
1509,MOSQUITO,0.476863,0.27498,1,5.0,21.833333333333332,0.476863,True,9085,*pʰutta,9757,matsara,11,37,18,68,0.6111111111111112,0.5441176470588235,0.45454545454545453,0.5900900900900901,0.09090909090909091,0,152,93
1395,ROUND,0.473333,0.264601,0.8,4.0,6.0,0.591667,True,8171,*piṇḍara,4321,gōla,6,10,9,12,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6,0.08333333333333333,0,166,94
199,FAMINE,0.471528,0.176393,0.7,3.5,4.25,0.673611,False,6426,*durargʰa,6470,duṣkāla,4,9,7,12,0.5714285714285714,0.75,0.875,0.4722222222222222,0,0,332,95
1360,DUCK,0.471429,0.049303,0.6,4.0,3.0,0.785714,False,1127,ātí,13937,haṁsá,7,3,12,40,0.5833333333333334,0.075,0.5714285714285714,1.0,0,0,1167,96
2060,STORY,0.471429,0.115147,0.6,3.0,4.0,0.785714,False,12748,ślṓka,2702,katʰana,3,7,8,11,0.375,0.6363636363636364,1.0,0.5714285714285714,0,0,552,97
1663,BED,0.47123,0.328512,1,5.0,5.416666666666666,0.47123,True,12323,śáyana,12609,*śēyyā,9,14,14,15,0.6428571428571429,0.9333333333333333,0.5555555555555556,0.38690476190476186,0,0,99,98
2324,GET WET,0.46875,0.279508,0.6,3.0,6.5,0.78125,False,11906,vílīyatē,9502,*bʰiyajyatē,4,8,5,8,0.8,1.0,0.75,0.8125,0,0,148,99
996,DEAF,0.468277,0.36799,1,6.833333333333333,9.5,0.468277,True,9268,*buṭṭa,9130,badʰirá,11,16,15,19,0.7333333333333333,0.8421052631578947,0.6212121212121212,0.59375,0.09090909090909091,0.1875,64,100
2319,"LID (COVER, CAP)",0.465,0.198277,0.6,3.0,7.2,0.775,False,3779,kʰaṭṭáyati,5574,*ḍʰakk,4,9,8,11,0.5,0.8181818181818182,0.75,0.8,0,0,264,101
244,LEFT,0.462963,0.214745,1,5.333333333333333,13.5,0.462963,True,3832,kʰarvá,11533,vā́ma,9,34,18,64,0.5,0.53125,0.5925925925925926,0.39705882352941174,0,0.06372549019607843,237,102
1007,COW,0.457558,0.327469,1,7.0,33.61666666666667,0.457558,True,f_wb26lvatz7tcg,*gāvā,4147,*gāva,20,43,23,73,0.8695652173913043,0.589041095890411,0.35,0.7817829457364341,0.21666666666666665,0,101,103
1291,BACK,0.452047,0.304285,1,5.166666666666667,13.166666666666666,0.452047,True,5582,*ḍʰākka,8370,pr̩ṣṭí,15,19,17,37,0.8823529411764706,0.5135135135135135,0.34444444444444444,0.6929824561403508,0.13333333333333333,0,120,104
933,WALL (OF HOUSE),0.451389,0.32508,1,5.0,7.25,0.451389,True,3251,kuḍya,9494,bʰittí,9,18,11,23,0.8181818181818182,0.782608695652174,0.5555555555555556,0.4027777777777778,0.05555555555555555,0,104,105
1181,PALM TREE,0.450658,0.187662,1,5.0,20.0,0.450658,True,5731,tala,14029,hastatala,8,38,17,66,0.47058823529411764,0.5757575757575758,0.625,0.5263157894736842,0,0.25,295,106
689,BETWEEN,0.45,0.232379,0.6,6.0,3.0,0.75,False,9804,mádʰya,12042,*vīcya,6,4,8,5,0.75,0.8,1.0,0.75,0,0.25,209,107
757,BUTTON,0.45,0.230797,0.6,3.0,4.5,0.75,True,5458,*ṭikka,12045,vīṭā,5,5,6,11,0.8333333333333334,0.45454545454545453,0.6,0.9,0,0,218,108
2627,ORANGE (FRUIT),0.45,0.123238,0.6,3.0,3.0,0.75,False,7073,nāraŋgá,2763,kámala,3,4,8,5,0.375,0.8,1.0,0.75,0,0.25,499,109
3069,FALSE,0.449949,0.261478,0.8185714285714285,4.5,4.0928571428571425,0.549675,True,5001,cʰala,5407,*jʰūṭṭʰa,6,11,7,15,0.8571428571428571,0.7333333333333333,0.75,0.37207792207792206,0,0.022727272727272728,169,110
1446,COME,0.448549,0.244987,1,6.083333333333333,14.999999999999998,0.448549,True,10452,yā́ti,1200,āpayati,19,26,23,72,0.8260869565217391,0.3611111111111111,0.3201754385964912,0.5769230769230769,0,0,187,111
759,SILVER,0.444293,0.188242,1,5.833333333333333,12.166666666666668,0.444293,True,10805,rū́pya,4669,candrikā,8,23,16,41,0.5,0.5609756097560976,0.7291666666666666,0.5289855072463768,0,0.3695652173913043,293,112
1297,LEG,0.442886,0.299425,1,5.5,13.966666666666669,0.442886,True,3906,kʰura,5428,ṭaŋka,10,41,13,69,0.7692307692307693,0.5942028985507246,0.55,0.3406504065040651,0,0.004878048780487805,124,113
1730,CHEEK,0.441667,0.319023,0.6,3.0,17.5,0.736111,True,2755,kapōlá,4089,galla,6,18,9,23,0.6666666666666666,0.782608695652174,0.5,0.9722222222222222,0,0,109,114
1042,CARPENTER,0.439444,0.43578,0.8666666666666666,9.5,4.333333333333333,0.507051,True,5621,tákṣan,11375,vardʰaki,10,13,11,16,0.9090909090909091,0.8125,0.95,0.3333333333333333,0,0.2692307692307692,33,115
1536,UNDERSTAND,0.438141,0.351294,0.9,4.5,8.416666666666666,0.486823,True,7848,*paribudʰyatē,9279,búdʰyatē,9,13,13,14,0.6923076923076923,0.9285714285714286,0.5,0.6474358974358974,0.14814814814814814,0.02564102564102564,77,116
86,SIEVE,0.433333,0.413167,1,7.0,5.0,0.433333,True,7843,paripavana,4771,cālana,10,15,11,15,0.9090909090909091,1.0,0.7,0.3333333333333333,0,0.16666666666666666,42,117
796,NIPPLE,0.433025,0.262502,0.7666666666666666,5.0,3.833333333333333,0.564815,True,4855,*cuccu,13666,stána,6,9,9,10,0.6666666666666666,0.9,0.8333333333333334,0.4259259259259259,0,0.12962962962962962,168,118
1375,WINDOW,0.429167,0.1653,0.8,4.0,5.25,0.536458,True,6651,*dvara,3770,kʰaṭakkikā,6,8,14,13,0.42857142857142855,0.6153846153846154,0.6666666666666666,0.65625,0.25,0,353,119
2042,WALNUT,0.427778,0.241096,1,5.333333333333333,6.0,0.427778,True,12079,*vr̩mra,48,akṣōṭa,15,6,17,6,0.8823529411764706,1.0,0.3555555555555555,1.0,0.5,0,191,120
1571,SELL,0.425926,0.278834,0.8,4.0,5.083333333333333,0.532407,True,3594,krīṇā́ti,12100,*vētyayati,8,9,12,14,0.6666666666666666,0.6428571428571429,0.5,0.5648148148148148,0,0,149,121
1098,WEIGH,0.425926,0.416086,0.8333333333333333,8.0,4.166666666666666,0.511111,True,5979,tōláyati,10525,*yōkṣati,9,10,10,11,0.9,0.9090909090909091,0.8888888888888888,0.41666666666666663,0,0.2833333333333333,38,122
769,ROOF,0.425505,0.266699,1,5.666666666666666,17.083333333333332,0.425505,True,12326,śaraṇá,4971,*cʰatti,16,33,21,64,0.7619047619047619,0.515625,0.35416666666666663,0.5176767676767676,0.020833333333333332,0,163,123
