head_id,family_id,head,family,rule
10593-5,10593,raṇḍa,*raṭṭa,explicitly linked numbered CDIAL subhead
10593-6,10593,*rāḍa,*raṭṭa,explicitly linked numbered CDIAL subhead
10593-7,10593,*rāṇa,*raṭṭa,explicitly linked numbered CDIAL subhead
10594-2,10594,*raḍ,*raḍḍ,explicitly linked numbered CDIAL subhead
10609-2,10609,*ratʰiyā,rátʰyā,explicitly linked numbered CDIAL subhead
10611-2,10611,raddʰa,*radʰyatē,explicitly linked numbered CDIAL subhead
1062-2,1062,āgʰrāṇa,āgʰrāpayati,explicitly linked numbered CDIAL subhead
10627-2,10627,rāmā,ramaṇī,explicitly linked numbered CDIAL subhead
10629-2,10629,*rampʰa,*rampa,explicitly linked numbered CDIAL subhead
10629-3,10629,*rambʰa,*rampa,explicitly linked numbered CDIAL subhead
10630-2,10630,*rampʰati,*rampati,explicitly linked numbered CDIAL subhead
10630-3,10630,*rambʰati,*rampati,explicitly linked numbered CDIAL subhead
10640-2,10640,*rall,*ral,explicitly linked numbered CDIAL subhead
1066-2,1066,*ācārayati,ā́carati,explicitly linked numbered CDIAL subhead
10666-2,10666,*rahyati,*rahati,explicitly linked numbered CDIAL subhead
10694-2,10694,*rājiyá,rājyá,explicitly linked numbered CDIAL subhead
10704-2,10704,*rātryāndʰa,rātryandʰa,explicitly linked numbered CDIAL subhead
10704-3,10704,rātryāndʰya,rātryandʰa,explicitly linked numbered CDIAL subhead
10704-4,10704,*rātryāndʰiya,rātryandʰa,explicitly linked numbered CDIAL subhead
10727-2,10727,*rikṇi,*rikṇa,explicitly linked numbered CDIAL subhead
10732-2,10732,*rēŋga,*rigga,explicitly linked numbered CDIAL subhead
10733-2,10733,*rigʰyati,*rigʰati,explicitly linked numbered CDIAL subhead
10734-2,10734,*rēŋk,*riŋk,explicitly linked numbered CDIAL subhead
10735-2,10735,*rikʰyati,ríŋkʰati,explicitly linked numbered CDIAL subhead
10739-2,10739,*rigyati,ríŋgati,explicitly linked numbered CDIAL subhead
10752-2,10752,rīrī,rīti,explicitly linked numbered CDIAL subhead
10753-2,10753,rīṇa,rī́yatē,explicitly linked numbered CDIAL subhead
10759-2,10759,*ruŋga,*rugga,explicitly linked numbered CDIAL subhead
10760-2,10760,*lugna,rugṇá,explicitly linked numbered CDIAL subhead
10769-2,10769,*rōḍa,*ruṭṭa,explicitly linked numbered CDIAL subhead
10769-3,10769,*rōḍʰa,*ruṭṭa,explicitly linked numbered CDIAL subhead
10770-2,10770,*ruḍʰa,*ruḍa,explicitly linked numbered CDIAL subhead
10770-3,10770,*ruṇṭa,*ruḍa,explicitly linked numbered CDIAL subhead
10770-4,10770,*ruṇṭʰa,*ruḍa,explicitly linked numbered CDIAL subhead
10770-5,10770,ruṇḍa,*ruḍa,explicitly linked numbered CDIAL subhead
10770-6,10770,*ruṇḍʰa,*ruḍa,explicitly linked numbered CDIAL subhead
10770-7,10770,*rōṭṭa,*ruḍa,explicitly linked numbered CDIAL subhead
10770-8,10770,*rōḍa-,*ruḍa,explicitly linked numbered CDIAL subhead
10770-9,10770,*rōḍḍa,*ruḍa,explicitly linked numbered CDIAL subhead
10783-2,10783,*rupyati,*rupati,explicitly linked numbered CDIAL subhead
10783-3,10783,rōpayati,*rupati,explicitly linked numbered CDIAL subhead
10783-4,10783,rōpyatē,*rupati,explicitly linked numbered CDIAL subhead
10786-2,10786,*rumal,*rum,explicitly linked numbered CDIAL subhead
10786-3,10786,rul,*rum,explicitly linked numbered CDIAL subhead
10799-2,10799,lūkṣá,rūkṣá,explicitly linked numbered CDIAL subhead
10805-2,10805,*rūpiya,rū́pya,explicitly linked numbered CDIAL subhead
10812-2,10812,*rēñja,*rēñca,explicitly linked numbered CDIAL subhead
10815-2,10815,*rēṇḍa,*rēṇṭa,explicitly linked numbered CDIAL subhead
10821-2,10821,rēvaṭa,*rēva,explicitly linked numbered CDIAL subhead
10832-2,10832,rōcáyati,rṓcatē,explicitly linked numbered CDIAL subhead
10832-3,10832,rōcyatē,rṓcatē,explicitly linked numbered CDIAL subhead
10834-2,10834,*rōñca,*rōcca,explicitly linked numbered CDIAL subhead
10835-2,10835,*rōciya,rōcya,explicitly linked numbered CDIAL subhead
10840-2,10840,rudáti,rōdati,explicitly linked numbered CDIAL subhead
10842-2,10842,*rōttra,*rōddʰra,explicitly linked numbered CDIAL subhead
10852-2,10852,*rōmantra,rōmantʰa,explicitly linked numbered CDIAL subhead
10870-2,10870,*rōhiya,*rōhya,explicitly linked numbered CDIAL subhead
10875-2,10875,*lakkuṭa,lakuṭa,explicitly linked numbered CDIAL subhead
