mode,concept,score,band,diagnostic,separation,support_factor,dardic_own,plains_own,crossover,dardic_family,plains_family
entry,UNDERSTAND,0.438141,Middle: 0.4–<0.6,Focal support below five votes,0.486823,0.9,0.5,0.6474358974358974,0.17378917378917377,*paribudʰyatē,búdʰyatē
entry,SIEVE,0.433333,Middle: 0.4–<0.6,"Supported, crossover >10 points",0.433333,1,0.7,0.3333333333333333,0.16666666666666666,paripavana,cālana
entry,NIPPLE,0.433025,Middle: 0.4–<0.6,Focal support below five votes,0.564815,0.7666666666666666,0.8333333333333334,0.4259259259259259,0.12962962962962962,*cuccu,stána
entry,WINDOW,0.429167,Middle: 0.4–<0.6,Focal support below five votes,0.536458,0.8,0.6666666666666666,0.65625,0.25,*dvara,kʰaṭakkikā
entry,WALNUT,0.427778,Middle: 0.4–<0.6,"Supported, crossover >10 points",0.427778,1,0.3555555555555555,1.0,0.5,*vr̩mra,akṣōṭa
entry,SELL,0.425926,Middle: 0.4–<0.6,Focal support below five votes,0.532407,0.8,0.5,0.5648148148148148,0,krīṇā́ti,*vētyayati
entry,WEIGH,0.425926,Middle: 0.4–<0.6,Focal support below five votes,0.511111,0.8333333333333333,0.8888888888888888,0.41666666666666663,0.2833333333333333,tōláyati,*yōkṣati
entry,ROOF,0.425505,Middle: 0.4–<0.6,"Supported, low crossover, weaker-side share <50%",0.425505,1,0.35416666666666663,0.5176767676767676,0.020833333333333332,śaraṇá,*cʰatti
entry,FIG,0.425,Middle: 0.4–<0.6,Focal support below five votes,0.708333,0.6,0.5,0.9166666666666666,0,kapittʰa,añjīra
entry,HEAD,0.423799,Middle: 0.4–<0.6,"Supported, low crossover, weaker-side share <50%",0.423799,1,0.5263157894736842,0.3886128364389234,0.06733137190803094,śīrṣá,masta
entry,WHAT,0.420615,Middle: 0.4–<0.6,Focal support below five votes,0.435119,0.9666666666666668,0.9285714285714286,0.2416666666666667,0.29999999999999993,kím,kīdŕ̩k
entry,MOTHER,0.418886,Middle: 0.4–<0.6,"Supported, low crossover, weaker-side share <50%",0.418886,1,0.45,0.4502721088435374,0.0625,āryikā,mātŕ̩
entry,ARROW,0.416667,Middle: 0.4–<0.6,"Supported, crossover >10 points",0.416667,1,0.75,0.4583333333333333,0.375,kā́ṇḍa,bāṇá
entry,FILL,0.416667,Middle: 0.4–<0.6,"Supported, crossover >10 points",0.416667,1,0.6111111111111112,0.5277777777777778,0.3055555555555556,pūráyati,bʰárati
entry,THAT,0.409804,Middle: 0.4–<0.6,"Supported, crossover >10 points",0.409804,1,0.5,0.6176470588235294,0.2980392156862745,sá,asáu
entry,BEE,0.405,Middle: 0.4–<0.6,Focal support below five votes,0.45,0.9,0.45,0.5625,0.1125,*mākṣikakara,bʰramará
entry,THOSE (PLURAL OF THAT),0.405,Middle: 0.4–<0.6,Focal support below five votes,0.675,0.6,0.6,0.75,0,sá,asáu
entry,HE,0.404221,Middle: 0.4–<0.6,"Supported, crossover >10 points",0.404221,1,0.5227272727272726,0.6071428571428571,0.32142857142857145,sá,asáu
entry,COUNT,0.404167,Middle: 0.4–<0.6,Focal support below five votes,0.505208,0.8,0.4444444444444444,0.84375,0.2777777777777778,lēkʰya,gaṇáyati
entry,TAIL,0.399942,Middle: 0.2–<0.4,Focal support below five votes,0.479931,0.8333333333333333,0.34722222222222215,0.66125,0.048611111111111105,lūma,púccʰa
entry,BITTER,0.399123,Middle: 0.2–<0.4,"Supported, crossover >10 points",0.399123,1,0.4,0.5175438596491228,0.11929824561403508,tr̩ṣṭá,tiktá
entry,NEW,0.397197,Middle: 0.2–<0.4,"Supported, crossover >10 points",0.397197,1,0.9298245614035087,0.36585365853658536,0.5012836970474968,náva,návya
entry,ASH,0.397095,Middle: 0.2–<0.4,Focal support below five votes,0.441216,0.9,0.45,0.4981981981981982,0.06576576576576577,cʰādi,rakṣā
entry,BREAST,0.396717,Middle: 0.2–<0.4,"Supported, low crossover, weaker-side share <50%",0.396717,1,0.6055555555555555,0.25,0.062121212121212126,*cuccu,*cʰātti
entry,SEE,0.396656,Middle: 0.2–<0.4,"Supported, low crossover, weaker-side share <50%",0.396656,1,0.4140350877192982,0.46041666666666664,0.08114035087719298,páśyati,*dr̩kṣati
entry,OTHER,0.396368,Middle: 0.2–<0.4,"Supported, crossover >10 points",0.396368,1,0.48717948717948717,0.4305555555555556,0.125,ápara,anyá
entry,FAT (ORGANIC SUBSTANCE),0.395939,Middle: 0.2–<0.4,"Supported, low crossover, weaker-side share <50%",0.395939,1,0.375,0.4307659932659933,0.013888888888888888,mḗdas,carbī
entry,SOFT,0.393333,Middle: 0.2–<0.4,"Supported, crossover >10 points",0.393333,1,0.7133333333333333,0.4,0.3266666666666667,kōmalá,narm
entry,DOVE,0.391667,Middle: 0.2–<0.4,Focal support below five votes,0.652778,0.6,0.5,0.8055555555555556,0,kapṓta,pā́rāvata
entry,RED,0.386374,Middle: 0.2–<0.4,"Supported, low crossover, weaker-side share <50%",0.386374,1,0.275,0.49774774774774766,0,*lōhila,lāl
entry,ECLIPSE,0.385714,Middle: 0.2–<0.4,Focal support below five votes,0.642857,0.6,0.42857142857142855,1.0,0.14285714285714285,andʰakāra,gráhaṇa
entry,WET,0.382651,Middle: 0.2–<0.4,"Supported, crossover >10 points",0.382651,1,0.6025641025641026,0.35107142857142853,0.18833333333333332,ārdrá,*bʰiyajyatē
entry,ENTER,0.378307,Middle: 0.2–<0.4,Focal support below five votes,0.56746,0.6666666666666666,0.8571428571428571,0.27777777777777773,0,átyēti,*ḍʰukyati
entry,SAY,0.375641,Middle: 0.2–<0.4,"Supported, low crossover, weaker-side share <50%",0.375641,1,0.38461538461538464,0.36666666666666664,0,mantráyatē,bʰánati
entry,EARTH (SOIL),0.373483,Middle: 0.2–<0.4,"Supported, low crossover, weaker-side share <50%",0.373483,1,0.3137254901960784,0.503968253968254,0.07072829131652661,dʰaráṇī,mŕ̩ttikā
entry,NARROW,0.366111,Middle: 0.2–<0.4,Focal support below five votes,0.610185,0.6,0.6,0.6203703703703703,0,ā́vr̩ta,saṁkaṭá
entry,BAD,0.365579,Middle: 0.2–<0.4,"Supported, low crossover, weaker-side share <50%",0.365579,1,0.4264705882352941,0.3046875,0,*latta,xarāb
entry,SPIDER WEB,0.364583,Middle: 0.2–<0.4,Focal support below five votes,0.520833,0.7,0.5,0.875,0.3333333333333333,mā́na,jā́la
entry,DECEIT,0.363879,Middle: 0.2–<0.4,Focal support below five votes,0.460606,0.79,0.8,0.3590909090909091,0.23787878787878783,cʰala,*dʰrōkṣa
entry,KNIFE,0.356155,Middle: 0.2–<0.4,Focal support below five votes,0.410948,0.8666666666666666,0.3611111111111111,0.4754901960784313,0.014705882352941176,*karttāra,cāqū
entry,TAKE,0.355873,Middle: 0.2–<0.4,"Supported, crossover >10 points",0.355873,1,0.5688888888888889,0.48214285714285715,0.3392857142857143,gr̩bʰāyáti,lábʰatē
entry,CROOKED,0.355801,Middle: 0.2–<0.4,Focal support below five votes,0.512353,0.6944444444444444,0.8076923076923077,0.2170138888888889,0,*kōla,vaŋka
entry,CAP,0.355556,Middle: 0.2–<0.4,Focal support below five votes,0.444444,0.8,0.4444444444444444,1.0,0.5555555555555556,kʰōla,*ṭōppa
entry,DANCE,0.355,Middle: 0.2–<0.4,Focal support below five votes,0.591667,0.6,0.6,0.6833333333333333,0.1,nr̩ttá,nŕ̩tyati
entry,COPPER,0.352381,Middle: 0.2–<0.4,Focal support below five votes,0.440476,0.8,0.4,0.8809523809523809,0.4,rīti,tāmrá
entry,GROW,0.352244,Middle: 0.2–<0.4,Focal support below five votes,0.503205,0.7,0.8333333333333334,0.2692307692307692,0.09615384615384616,várdʰatē,útpadyatē
