Child_ID	Parent_ID	Kind	Rank	Pos	Source	Note
f_2owgvruoyqkje	f_invveeaji5f56	variant	1			
f_2oxpquinwkisc	6368	reflex	1			
f_2oxrpssfrda3q	2918	reflex	1			
f_2oxsp2u7t5pda	6920	reflex	1			
f_2oybu4odcr5di	13693	reflex	1			
f_2oyqgkielbvui	7563	reflex	1			
f_2p3uvat432gko	2587	reflex	1			
f_2p56cbom4y3tc	f_hp57c66obnnkg	variant	1			
f_2p57swdxs44cy	8265	reflex	1			
f_2p6ltlnzmvbs2	8283	reflex	1			
f_2p6qlwwp7zj6m	5301	reflex	1			
f_2p77ubdpz3wcu	5714	reflex	1			
f_2pbubaravpbfw	9467	reflex	1			
f_2pc3yeobe6up4	4655	reflex	1			
f_2pcztdctmbh56	11616	reflex	1			
f_2pdzj44eyacpi	2860	reflex	1			
f_2phbesybvldy2	12529	reflex	1			
f_2phs7szykfbew	6429	reflex	1			
f_2pjxkswo3r4hs	1782	reflex	1			
f_2ppizumzovzcy	9560	reflex	1			
f_2pskgeiq3rdze	f_bmibyafpur5pg	variant	1			
f_2pxuhsu4oh5um	9209	reflex	1			
f_2pyg7fj56pigi	f_vulqqikgw73h6	variant	1			
f_2pzxwfvidgnyk	1921	reflex	1			
f_2q3cbpo5bt4p6	13902	reflex	1			
f_2q4h7ob4pjmbo	f_ndm7sgvqas5h2	variant	1			
f_2q4hgvxlprota	11225	reflex	1			
f_2q7zxtvc7etii	6984	reflex	1			
f_2qalct2ama34g	f_ff4rkot57t4uy	variant	1			
f_2qap576ttp4gs	5983	reflex	1			
f_2qatao272cexq	6613	reflex	1			
f_2qbhiziuhn42e	10896	reflex	1			
f_2qc6bywqjrf24	9568	reflex	1			
f_2qeqagbl7272u	10660	reflex	1			
f_2qgwxg37ysq3q	283	reflex	1			
f_2qgzbbllqmqki	3500	reflex	1			
f_2qivlcax6kg6o	f_fxbdng6zvfpza	variant	1			
f_2qjlb4re427ws	3232	reflex	1			
f_2qjvj45zk5luw	10394	reflex	1			
f_2qjyy54tmxjes	10805	reflex	1			
f_2qmk6uvgn4vw4	10412	reflex	1			
f_2qp5dpbxzxi46	6651	reflex	1			
f_2qtefzi5h3mrs	3232	reflex	1			
f_2qvddwbjn6twe	7785	reflex	1			
f_2qw7bsf3atsca	9250	reflex	1			
f_2qy7uilxhrloc	10104	reflex	1			
f_2qza3r6s5erla	3078	reflex	1			
f_2r2xmjsdblege	f_z2wvvd2dxc24s	variant	1			
f_2rej5rtwwnnie	8201	reflex	1			
f_2rimygouyqg4i	6815	reflex	1			
f_2rmhvuusytymy	9828	reflex	1			
f_2rouqznmsljzc	447-2	reflex	1			
f_2s3dbgr747fbq	4889	reflex	1			
f_2saesqq3ucdgw	6666	reflex	1			
f_2sd7tstubmfoc	9568	reflex	1			
f_2smuddwagmxvs	f_7fzbbwvnqq5lw	variant	1			
f_2sqdarog7nh6k	2390	reflex	1			
f_2stpoq75jbjlc	13736	reflex	1			
f_2su6vmw2b5jsc	8201	reflex	1			
f_2suffuc6blf5i	3112	reflex	1			
f_2swbacghmmtik	5075	reflex	1			
f_2t7tgq7qele7a	2817	reflex	1			
f_2ta76dnpdxrnu	11628	reflex	1			
f_2tafmsdz6mz4i	9089	reflex	1			
f_2tbghauq7fqgi	f_a3rgg2ufpu63y	variant	1			
f_2tdtkplsecp74	10830	reflex	1			
f_2tghdsity3d3m	5110	reflex	1			
f_2toh3hxlcf4ss	10323	reflex	1			
f_2topkurfyhpeq	12497	reflex	1			
f_2tvhzdyyuhnqo	5110	reflex	1			
f_2tyfblqonnqtm	5684	reflex	1			
f_2tzf7sxd2fyd2	14152	reflex	1			
f_2u5vod3inucbe	9875	reflex	1			
f_2u6g75u5u57pu	10174	reflex	1			
f_2ucl6ubpazans	6648	reflex	1			
f_2ujbobjyoflvi	1962	reflex	1			
f_2uuuuz2hnp6g4	1533	reflex	1			
f_2uvsw4rsxfv6k	f_37y7iic4geeuy	variant	1			
f_2v275lvcskr5y	5889	reflex	1			
f_2v44fadeg6mwc	5427	reflex	1			
f_2v4nh6l5mauxe	9917	reflex	1			
f_2vagnka5f63ku	1288	reflex	1			
f_2veccvd7tmrom	f_rezfmesnerung	variant	1			
f_2vhbicjgze7tg	f_4rj2rghlyensu	variant	1			
f_2vn6r5dpdzpb4	10304	reflex	1			
f_2vqy5m6w6jrq2	11743	reflex	1			
f_2vta5ys37t5vy	10896	reflex	1			
f_2vtsrp7mn5n72	f_7mz6bljcxf5ri	variant	1			
f_2w5akem3os7uw	5406	reflex	1			
f_2w66wnoimvsli	2540	reflex	1			
f_2w7x3u4ehk4gw	9459	reflex	1			
f_2waandsle4kiu	2860	reflex	1			
f_2wbrs2mikruys	9871	reflex	1			
f_2wgzpeixcgcru	12528-4	reflex	1			
f_2wttqqhppidog	7655	reflex	1			
f_2wuy5pjpyr5rs	5075	reflex	1			
f_2wwkzkjdsdcya	13261	reflex	1			
f_2wy3z6cnxjopi	4963	reflex	1			
f_2x26nnwtfbbbe	13586	reflex	1			
f_2x5sdghr2anas	1268	reflex	1			
f_2x6qs7wndbrvm	13276	reflex	1			
f_2xaxqxkdlyoyk	12052	reflex	1			
f_2xmbh6cebpkze	4270	reflex	1			
f_2xspm4vgjvjgc	6261	reflex	1			
f_2xuzv4wuvir7g	8371	reflex	1			
f_2xzb4cu223lag	2668	reflex	1			
f_2y2cfojgnkbdm	11503	reflex	1			
f_2y4igsyfpbut2	5399	reflex	1			
f_2y6rupmtatw2i	5714	reflex	1			
f_2ybotfsiabiwo	5958	reflex	1			
f_2yhx6rvj4cszs	14021	reflex	1			
f_2yl5bg3gnk6hg	10928-2	reflex	1			
f_2ymh2pyc6x73s	1533	reflex	1			
f_2ynq575rr7oga	9216	reflex	1			
f_2yogra7ly3rng	10223	reflex	1			
f_2yq77oke4mcq6	6651	reflex	1			
f_2yspjyrpt3hk2	2830	reflex	1			
f_2yt6nnph7ldli	12803-2	reflex	1			
f_2yvfbit32lxgg	4093	reflex	1			
f_2zahuvwyfeq6q	4270	reflex	1			
f_2zdsvvldpkh7k	9568	reflex	1			
f_2zh7okudbyv4i	4362	reflex	1			
f_2zhbdtohe5qj4	10337	reflex	1			
f_2zhmqjeoxgqme	6119	reflex	1			
f_2zlj4cvo2cacw	f_shwiighc4vjly	variant	1			
f_2zqrcxvmcb66y	4849	reflex	1			
f_2zr6reimufq7m	3232	reflex	1			
f_2ztnwq2r3dfhe	12513	reflex	1			
f_2zvz3oqjh6ipw	f_gxslzxzth47ny	variant	1			
f_2zwlsmwzvnf6u	12487	reflex	1			
f_2zzmfojglobgs	14028	reflex	1			
f_323vp6ihmpvcm	7733	reflex	1			
f_324gyry4i2p7s	1533	reflex	1			
f_3256z2kebltue	f_cnqbe26c3itua	variant	1			
f_32fbfobkhia6s	5150	reflex	1			
f_32gm27ybckwtw	f_j4neclk7o3xgm	variant	1			
f_32lmnjzx5qr4m	722	reflex	1			
f_32puwvzlrrrlq	2655	reflex	1			
f_32qaoebnppuqc	1182	reflex	1			
f_32r57uzg6b4qq	6651	reflex	1			
f_32svsuguz2lp6	1533	reflex	1			
f_32wxu3hp745ui	242	reflex	1			
f_33dtzuybomwna	6495	reflex	1			
f_33hl4kxqknodu	f_yz2stvypgqpco	variant	1			
f_33jy36qg67v5g	13902	reflex	1			
f_33oueyaaf74oq	14148	reflex	1			
f_342iq6vd45mfi	11168	reflex	1			
f_342y6zkznz6ze	6984	reflex	1			
f_347aviq4mxz4w	12052	reflex	1			
f_34dqr7fymso4y	8265	reflex	1			
f_34gtj4vos7ggu	5110	reflex	1			
f_34p6rtxuse4s4	6833	reflex	1			
f_34qg6vg22tzp4	4460	reflex	1			
f_34t6l7wz65vdo	6926	reflex	1			
f_34vsapnfotyo2	283	reflex	1			
f_34wxhklqisyt6	6119	reflex	1			
f_34x4tgxrsuly4	2245	reflex	1			
f_34ylhfnhus5tm	11628	reflex	1			
f_353atwv5euz2i	6152	reflex	1			
f_35f7dq5sjxdxi	11706	reflex	1			
f_35pvkqkw2sh6u	9209	reflex	1			
f_35whacfjzkogs	14152	reflex	1			
f_365c5edipn7ya	f_lbvz3gmtzihgg	variant	1			
f_36at26kajtpi2	5286	reflex	1			
f_36gbkksq2znjw	13834	reflex	1			
f_36h64mpsioaq2	6368	reflex	1			
f_36hwothbsntd2	f_vu6m2yqyg5lts	variant	1			
f_36l2iwwjuvjsa	4889	reflex	1			
f_36srory7qutvw	f_gucayg2fa45ni	variant	1			
f_372hhs66oz7rk	12719	reflex	1			
f_373jsgrsdax2o	10648	reflex	1			
f_3745bk5pmf5vu	9078-2	reflex	1			
f_37cdti6zzu2iu	14029	reflex	1			
f_37d3wkikqclaw	f_vgj5nvlo6fxmu	variant	1			
f_37drmu4nvbqxi	3727	reflex	1			
f_37fjyd6sxoayg	6019-2	reflex	1			
f_37h3ccoz2hnv2	11892	reflex	1			
f_37ifonrknaurc	3832	reflex	1			
f_37wvevaa4mpfk	5213	reflex	1			
f_37y7iic4geeuy	6724	reflex	1			
f_37yfo5a4o4eca	145	reflex	1			
f_37zliup5kadm6	6864	reflex	1			
f_3a2q7wzgv7dpk	9193	reflex	1			
f_3a2upqqejm2jo	9742-4	reflex	1			
f_3a4srcxev32pe	13902	reflex	1			
f_3aacsjfkekg6s	11168	reflex	1			
f_3afgy4pthidpu	10497-2	reflex	1			
f_3aftp4kerbzty	3832	reflex	1			
f_3agt7tlcp3vji	f_tzhfziq7bqaha	variant	1			
f_3al3faxrgwxje	f_rwocnam4sg7bo	variant	1			
f_3apsavsnq7s4q	13913	reflex	1			
