ID	Language_ID	Form	Gloss	Native	Phonemic	Original	Cognateset	Description	Tags	Source	Etymology	Redirect	Status
f_4ews7ijwctroq	Phal	uxiā̌r	wise, clever	اُخیار	uxjaár	uxiaár			adj indecl loanword loan:Pashto loan:Persian	liljegren	Origin: Pashto (Persian): (h)ux-yaar		unlinked
f_4hr3c3gg527uw	Sh	nára	downward			nára		nach unten, hinab	adv spatial dialect:Sh:gil:Gilgit	buddruss-shina1996[p. 46, glossary entry 28]	first printed alternate; Turner 7189 is questioned		unlinked
f_4ipiopxcafiqm	Phal	váxta	early	وختہ	wáxta	wáxta			adv temporal	liljegren			unlinked
f_4is2ibguxjqkg	Phal	jʰā̌ṭ	goat's hair; fur	جھاٹ	dʑhaáʈ	ǰhaáṭ		Inflection: i-decl (Obl (pl)): ǰhaṭí; Morphemic form: ǰhaṭ; Restriction: With plural reference	noun f Palula-noun-class-i	liljegren	*jhāṭṭha- 'hair' (T: 5334)		
f_4ixyrnpnfhpmi	Phal	gī̂a	went (pl)	گِیہ	ɡíja, ɡíia	gíia			verb intr	liljegren			unlinked
f_4jhbdvr5gy67e	Phal	dʰarā̌ṇ	ground; earth	دھراݨ	dharaáɳ	dharaáṇ		Inflection: i-decl (Obl): dharaṇí; Morphemic form: dharáṇ	noun f Palula-noun-class-i	liljegren	dharáṇī- 'ground (fem)' (T: 6744)		
f_4lyakd27blb5w	Phal	ā̂	Infinitive suffix added to the verb root; a, an; a certain		áa, áj, áaj	-áa; áa		Restriction: Usually suffixed to a complement-clause verb with a modality verb following it; Morphemic form: ak	suffix	liljegren			unlinked
f_4mjlmzruyyjze	Phal	maŋgái	water pot	منگئیۡ	maŋɡéj	mangái		Inflection: a-decl (Obl, pl): mangée, mangéea	noun f Palula-noun-class-a	liljegren			unlinked
f_4rd67vvvz6w6w	Phal	ajī̂	from upstream, from uphill	اجی	adʑíi	aǰíi			adv spatial	liljegren			unlinked
f_4rj2rghlyensu	Phal	gāḍbā̂bu	uncle; father's older brother	گاڈبابوۡ	ɡaaɖbáabu	gaaḍbáabu		Inflection: a-decl (Obl, pl): gaaḍbáaba	noun m Palula-noun-class-a	liljegren			unlinked
f_4t5d2u3msbrc6	Phal	zir	thousand	زِر	zir	zir			num loanword loan:Pashto	liljegren	Origin: Pashto: zər		unlinked
f_4ue2jhhuibhtq	Sh	kaʦ̣ū̀n	carrot			kac̣úun		Karotte	noun m dialect:Sh:gil:Gilgit	buddruss-shina1996[p. 44, glossary entry 25]	first printed alternate		unlinked
f_4utvuyzqnbaje	Phal	halō̂l	lawful; lawfully slaughtered	حلول	halóol	halóol		Usage: Primarily used as a non-verb element in complex predicates	adj indecl loanword loan:Arabic loan:Urdu	liljegren	Origin: Urdu (Arabic): halaal		unlinked
f_4wms6dstvwxwm	Phal	ʦ̣ʰatrō̂l	Chitral (the district or the adminitrative centre of the district)	ڇھترول	ʈʂʰatróol	c̣hatróol		Inflection: a-decl (Obl): -a; Morphemic form: c̣hetráal	noun m proper-noun Palula-noun-class-a	liljegren			unlinked
f_4x43zgel26dd4	Phal	cal	manner, way, plan; skill, trick	چل	tɕal	čal		Inflection: i-decl (Obl, pl): čalí	noun f Palula-noun-class-i loanword loan:Urdu	liljegren	Origin: Urdu: čal		unlinked
f_4xuf5kxtfly5u	Phal	bʰāruṛō̂	to make noise, disturb; quarrel (verbally)	بھارُڑو	bhaaruɽóo	bhaaruṛóo		Inflection: L:a (Prs): bhaaruṛaáanu, (Pfv): bhaaruṛóolu, (Cv): bhaaruṛaá, (Imp): bhaaruṛá; Morphemic form: bhaarúṛ-á; Usage: Formally transitive but semantically intransitive	verb tr Palula-verb-class-L-a	liljegren			unlinked
f_4xuzbvqfandw6	Phal	bʰāŋgí	cock, rooster	بھانگیۡ	bhaaŋɡí	bhaangí		Inflection: aan-decl (Pl): -aán	noun m Palula-noun-class-aan	liljegren			unlinked
f_4ze2fy4njha6u	Phal	ā̂ṭ	Suffix added to verb stem to form agentive verbal noun		-áaʈ	-áaṭ		Morphemic form: -áṭ; Restriction: Invariably followed by a gender/number agreement suffix	suffix	liljegren			unlinked
