concept_id,concept,group,language_id,language,unit,form_id,form,gloss,head_id,head,family_id,family,status,source
1203,LONG,plains,Bishnupriya,Bishnupriya Manipuri,bish1244,f_wyzhh34w6zakm,digor,long,,,,,unlinked,"kim-kim2008bishnupriya[Appendix B.3, printed p. 49, item 246, Machimpur]"
1203,LONG,plains,Bishnupriya,Bishnupriya Manipuri,bish1244,f_trph3qrdjv5s4,digor,long,,,,,unlinked,"kim-kim2008bishnupriya[Appendix B.3, printed p. 49, item 246, Madhapur]"
1203,LONG,plains,AdivasiOriya,Adivasi Oriya,adiv1239,f_rue4kfldryyzc,lom,long,,,,,unlinked,"behera2021desia[Appendix B.5, printed p. 100, item 134, site Potenda];behera2021desia[Appendix B.5, printed p. 100, item 134, site Ghumar];behera2021desia[Appendix B.5, printed p. 100, item 134, site Sabhapatiguda];behera2021desia[Appendix B.5, printed p. 100, item 134, site Kantigad];behera2021desia[Appendix B.5, printed p. 100, item 134, site Konda Maliguda];behera2021desia[Appendix B.5, printed p. 100, item 134, site Chhatrabor];behera2021desia[Appendix B.5, printed p. 100, item 134, site Bodgaon];behera2021desia[Appendix B.5, printed p. 100, item 134, site Sindhiguda];behera2021desia[Appendix B.5, printed p. 100, item 134, site Sourakundi]"
1203,LONG,plains,AdivasiOriya,Adivasi Oriya,adiv1239,f_3wy25u5clfddm,lomba,long,,,,,unlinked,"behera2021desia[Appendix B.5, printed p. 100, item 134, site Potenda]"
1203,LONG,plains,AdivasiOriya,Adivasi Oriya,adiv1239,f_q73rh5c67flrs,ḍeŋ,long,,,,,unlinked,"behera2021desia[Appendix B.5, printed p. 100, item 134, site Kantigad];behera2021desia[Appendix B.5, printed p. 100, item 134, site Kakalpoda];behera2021desia[Appendix B.5, printed p. 100, item 134, site Gumalput];behera2021desia[Appendix B.5, printed p. 100, item 134, site Chhatrabor]"
1203,LONG,plains,AdivasiOriya,Adivasi Oriya,adiv1239,f_r7re2q4uyfr4c,deŋg,long,,,,,unlinked,"behera2021desia[Appendix B.5, printed p. 100, item 134, site Patta Maliguda];behera2021desia[Appendix B.5, printed p. 100, item 134, site Gagnapur];behera2021desia[Appendix B.5, printed p. 100, item 134, site Gemelput];behera2021desia[Appendix B.5, printed p. 100, item 134, site Souraguda];behera2021desia[Appendix B.5, printed p. 100, item 134, site Sourakundi]"
1203,LONG,plains,AdivasiOriya,Adivasi Oriya,adiv1239,f_gf3ta7haiuyao,ḍeŋg,long,,,,,unlinked,"behera2021desia[Appendix B.5, printed p. 100, item 134, site Dame side];behera2021desia[Appendix B.5, printed p. 100, item 134, site Burja];behera2021desia[Appendix B.5, printed p. 100, item 134, site Aunli];behera2021desia[Appendix B.5, printed p. 100, item 134, site Jujhari]"
1203,LONG,plains,AdivasiOriya,Adivasi Oriya,adiv1239,f_fgarjyum52p22,lam,long,,,,,unlinked,"behera2021desia[Appendix B.5, printed p. 100, item 134, site Burja]"
1203,LONG,plains,AdivasiOriya,Adivasi Oriya,adiv1239,f_rbrehatn32amk,deŋ,long,,,,,unlinked,"behera2021desia[Appendix B.5, printed p. 100, item 134, site Bodgaon]"
1203,LONG,plains,AdivasiOriya,Adivasi Oriya,adiv1239,f_6h35q762xdpfc,boḍ ḍeŋ,long,,,,,unlinked,"behera2021desia[Appendix B.5, printed p. 100, item 134, site Aunli]"
1203,LONG,plains,Goj,Gujari,guja1253,f_vt3vnks2c3kl6,lamo,long (object),,,,,unlinked,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 64, printed p. 56, item 134, list UDH];hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 64, printed p. 56, item 134, list JAM];hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 64, printed p. 56, item 134, list RAM];hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 64, printed p. 56, item 134, list NAL];hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 64, printed p. 56, item 134, list DEH];hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 64, printed p. 56, item 134, list KOT];hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 64, printed p. 56, item 134, list HAL]"
1203,LONG,plains,Goj,Gujari,guja1253,f_monb62lz4zp4u,lamā,long (object),,,,,unlinked,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 64, printed p. 56, item 134, list CHA]"
1203,LONG,plains,kaithal,Haryanvi,hary1238,f_y6uwxerwnzkwi,lamba,long,,,,,unlinked,"webster2024haryanvi[Appendix A.3, printed p. 29, item 134, HRT]"
1203,LONG,plains,kaithal,Haryanvi,hary1238,f_tza5lgsiryjk2,lamba,long,,,,,unlinked,"webster2024haryanvi[Appendix A.3, printed p. 29, item 134, HJN]"
1203,LONG,plains,kaithal,Haryanvi,hary1238,f_7c653bj7zuxss,lamba,long,,,,,unlinked,"webster2024haryanvi[Appendix A.3, printed p. 29, item 134, HFT]"
1203,LONG,plains,kaithal,Haryanvi,hary1238,f_v2fpxzo6kna3u,lamba,long,,,,,unlinked,"webster2024haryanvi[Appendix A.3, printed p. 29, item 134, HNG]"
1203,LONG,plains,kaithal,Haryanvi,hary1238,f_aaxll4c5iqdgk,lamba,long,,,,,unlinked,"webster2024haryanvi[Appendix A.3, printed p. 29, item 134, HTR]"
1203,LONG,plains,kaithal,Haryanvi,hary1238,f_sugosqqz6xtwk,lamba,long,,,,,unlinked,"webster2024haryanvi[Appendix A.3, printed p. 29, item 134, HLH]"
1203,LONG,plains,mewari_basad,Malvi,malv1243,f_ejswbmwueylyu,lambo,long,,,,,unlinked,"varghese-john-samuel2009malvi[Appendix B, printed p. 125, item 134, Ujjaini-Malvi-Harsodan];varghese-john-samuel2009malvi[Appendix B, printed p. 125, item 134, Ujjaini-Malvi-Chandukhedi];varghese-john-samuel2009malvi[Appendix B, printed p. 125, item 134, Ujjaini-Malvi-Koyal];varghese-john-samuel2009malvi[Appendix B, printed p. 125, item 134, Ujjaini-Malvi-Rojdi];varghese-john-samuel2009malvi[Appendix B, printed p. 125, item 134, Ujjaini-Malvi-Kumardi];varghese-john-samuel2009malvi[Appendix B, printed p. 125, item 134, Ujjaini-Malvi-Jokhar];varghese-john-samuel2009malvi[Appendix B, printed p. 125, item 134, Ujjaini-Malvi-Bercha];varghese-john-samuel2009malvi[Appendix B, printed p. 125, item 134, Ujjaini-Malvi-Moondikhedi];varghese-john-samuel2009malvi[Appendix B, printed p. 125, item 134, Rajwadi-Malvi-Lojithara];varghese-john-samuel2009malvi[Appendix B, printed p. 125, item 134, Rajwadi-Malvi-Bhimakhedi];varghese-john-samuel2009malvi[Appendix B, printed p. 125, item 134, Rajwadi-Malvi-Kishorpura];varghese-john-samuel2009malvi[Appendix B, printed p. 125, item 134, Rajwadi-Malvi-Bhunyakhedi];varghese-john-samuel2009malvi[Appendix B, printed p. 125, item 134, Rajwadi-Malvi-Jesingpura];varghese-john-samuel2009malvi[Appendix B, printed p. 125, item 134, Rajwadi-Malvi-Bhandia];varghese-john-samuel2009malvi[Appendix B, printed p. 125, item 134, Umadwadi-Malvi-Jhadmu];varghese-john-samuel2009malvi[Appendix B, printed p. 125, item 134, Umadwadi-Malvi-Paldyabana];varghese-john-samuel2009malvi[Appendix B, printed p. 125, item 134, Umadwadi-Malvi-Mungavali];varghese-john-samuel2009malvi[Appendix B, printed p. 125, item 134, Sondhwadi-Malvi-Harnauda];varghese-john-samuel2009malvi[Appendix B, printed p. 125, item 134, Sondhwadi-Malvi-Narana];varghese-john-samuel2009malvi[Appendix B, printed p. 125, item 134, Sondhwadi-Malvi-Adakhedi];varghese-john-samuel2009malvi[Appendix B, printed p. 125, item 134, Sondhwadi-Malvi-Era];varghese-john-samuel2009malvi[Appendix B, printed p. 125, item 134, Sondhwadi-Malvi-Deevdi];varghese-john-samuel2009malvi[Appendix B, printed p. 125, item 134, Sondhwadi-Malvi-Jamli];varghese-john-samuel2009malvi[Appendix B, printed p. 125, item 134, Gond-Malvi-Kalwar];varghese-john-samuel2009malvi[Appendix B, printed p. 125, item 134, Gond-Malvi-Samapura];varghese-john-samuel2009malvi[Appendix B, printed p. 125, item 134, Bhil-Malvi-Bhandikhali]"
1203,LONG,plains,mewari_basad,Malvi,malv1243,f_d6gh7akqkhvlo,lambā,long,,,,,unlinked,"varghese-john-samuel2009malvi[Appendix B, printed p. 125, item 134, Ujjaini-Malvi-Nain];varghese-john-samuel2009malvi[Appendix B, printed p. 125, item 134, Umadwadi-Malvi-Semlikakad]"
1203,LONG,plains,mewari_basad,Malvi,malv1243,f_fd5w5cmn2p6ru,lembo,long,,,,,unlinked,"varghese-john-samuel2009malvi[Appendix B, printed p. 125, item 134, Ujjaini-Malvi-Thillorkhurd]"
1203,LONG,plains,mewari_basad,Malvi,malv1243,f_hzr744xg6ugu4,lāmba,long,,,,,unlinked,"varghese-john-samuel2009malvi[Appendix B, printed p. 125, item 134, Umadwadi-Malvi-Sagpur]"
1203,LONG,plains,mewari_basad,Malvi,malv1243,f_vxl46lvcbtlac,laməḍā,long,,,,,unlinked,"varghese-john-samuel2009malvi[Appendix B, printed p. 125, item 134, Sondhwadi-Malvi-Deevdi]"
1203,LONG,plains,Nimadi,Nimadi,nima1243,f_2gu7nffnuua2a,lambo,long,,,,,unlinked,"vunnamatla-john-samuvel2012nimadi[Appendix A, printed p. 84, item 134, N-Son-Bal]"
1203,LONG,plains,Nimadi,Nimadi,nima1243,f_stz3k677gjhpy,lambo,long,,,,,unlinked,"vunnamatla-john-samuvel2012nimadi[Appendix A, printed p. 84, item 134, N-Son-Pat]"
1203,LONG,plains,Nimadi,Nimadi,nima1243,f_5nrvzh2oyt75s,lambo,long,,,,,unlinked,"vunnamatla-john-samuvel2012nimadi[Appendix A, printed p. 84, item 134, N-Bal-Br]"
1203,LONG,plains,Nimadi,Nimadi,nima1243,f_vz4iicsenenx4,lambo,long,,,,,unlinked,"vunnamatla-john-samuvel2012nimadi[Appendix A, printed p. 84, item 134, N-Jaj-OBC]"
1203,LONG,plains,Nimadi,Nimadi,nima1243,f_7mezrhpohw2va,lambo,long,,,,,unlinked,"vunnamatla-john-samuvel2012nimadi[Appendix A, printed p. 84, item 134, N-Bhi-Bhi]"
1203,LONG,plains,Nimadi,Nimadi,nima1243,f_iok2ho6cqby5o,lāmbo,long,,,,,unlinked,"vunnamatla-john-samuvel2012nimadi[Appendix A, printed p. 84, item 134, N-Dhar-Bhi]"
1203,LONG,plains,Nimadi,Nimadi,nima1243,f_yxhbmnoetl2h6,lambo,long,,,,,unlinked,"vunnamatla-john-samuvel2012nimadi[Appendix A, printed p. 84, item 134, N-Khj-Bhi]"
1203,LONG,plains,Nimadi,Nimadi,nima1243,f_wgdcxnc7o57pe,lambo,long,,,,,unlinked,"vunnamatla-john-samuvel2012nimadi[Appendix A, printed p. 84, item 134, N-Mah-Bhi]"
1203,LONG,plains,Nimadi,Nimadi,nima1243,f_tgqdm3wd7m5ne,lambo,long,,,,,unlinked,"vunnamatla-john-samuvel2012nimadi[Appendix A, printed p. 84, item 134, N-Rup-Br]"
1203,LONG,plains,Nimadi,Nimadi,nima1243,f_brq4bo2p5k4xa,lāmbo,long,,,,,unlinked,"vunnamatla-john-samuvel2012nimadi[Appendix A, printed p. 84, item 134, N-Khr-Gen]"
1203,LONG,plains,Nimadi,Nimadi,nima1243,f_ixcix4rfuou74,lambo,long,,,,,unlinked,"vunnamatla-john-samuvel2012nimadi[Appendix A, printed p. 84, item 134, N-Awl-Bal]"
